"Plot Title: MC5"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10569711, SEN S/N: 10569711)","Temp, °F (LGR S/N: 10569711, SEN S/N: 10569711)","Coupler Detached (LGR S/N: 10569711)","End Of File (LGR S/N: 10569711)"
1,04/08/15 09:07:31 AM,14.4427,65.680,,
2,04/08/15 09:08:20 AM,,,Logged,
3,04/08/15 09:08:31 AM,14.4458,66.366,,
4,04/08/15 09:09:31 AM,15.6013,63.282,,
5,04/08/15 09:10:31 AM,15.6126,61.054,,
6,04/08/15 09:11:31 AM,15.6156,60.024,,
7,04/08/15 09:12:31 AM,15.6114,59.508,,
8,04/08/15 09:13:31 AM,15.6106,59.164,,
9,04/08/15 09:14:31 AM,15.6116,58.993,,
10,04/08/15 09:15:31 AM,15.6082,58.820,,
11,04/08/15 09:16:31 AM,15.6064,58.647,,
12,04/08/15 09:17:31 AM,15.6078,58.647,,
13,04/08/15 09:18:31 AM,15.6059,58.476,,
14,04/08/15 09:19:31 AM,15.6059,58.476,,
15,04/08/15 09:20:31 AM,15.6055,58.303,,
16,04/08/15 09:21:31 AM,15.6042,58.303,,
17,04/08/15 09:22:31 AM,15.6027,58.303,,
18,04/08/15 09:23:31 AM,15.6008,58.131,,
19,04/08/15 09:24:31 AM,15.5994,58.131,,
20,04/08/15 09:25:31 AM,15.5981,58.131,,
21,04/08/15 09:26:31 AM,15.5981,58.131,,
22,04/08/15 09:27:31 AM,15.5981,58.131,,
23,04/08/15 09:28:31 AM,15.5976,57.958,,
24,04/08/15 09:29:31 AM,15.5976,57.958,,
25,04/08/15 09:30:31 AM,15.5976,57.958,,
26,04/08/15 09:31:31 AM,15.5947,57.958,,
27,04/08/15 09:32:31 AM,15.5933,57.958,,
28,04/08/15 09:33:31 AM,15.5947,57.958,,
29,04/08/15 09:34:31 AM,15.5933,57.958,,
30,04/08/15 09:35:31 AM,15.5933,57.958,,
31,04/08/15 09:36:31 AM,15.5933,57.958,,
32,04/08/15 09:37:31 AM,15.5905,57.958,,
33,04/08/15 09:38:31 AM,15.5905,57.958,,
34,04/08/15 09:39:31 AM,15.5891,57.958,,
35,04/08/15 09:40:31 AM,15.5901,57.785,,
36,04/08/15 09:41:31 AM,15.5887,57.785,,
37,04/08/15 09:42:31 AM,15.5914,57.785,,
38,04/08/15 09:43:31 AM,15.5887,57.785,,
39,04/08/15 09:44:31 AM,15.5872,57.785,,
40,04/08/15 09:45:31 AM,15.5887,57.785,,
41,04/08/15 09:46:31 AM,15.5858,57.785,,
42,04/08/15 09:47:31 AM,15.5872,57.785,,
43,04/08/15 09:48:31 AM,15.5872,57.785,,
44,04/08/15 09:49:31 AM,15.5872,57.785,,
45,04/08/15 09:50:31 AM,15.5872,57.785,,
46,04/08/15 09:51:31 AM,15.5858,57.785,,
47,04/08/15 09:52:31 AM,15.5858,57.785,,
48,04/08/15 09:53:31 AM,15.5844,57.785,,
49,04/08/15 09:54:31 AM,15.5844,57.785,,
50,04/08/15 09:55:31 AM,15.5830,57.785,,
51,04/08/15 09:56:31 AM,15.5830,57.785,,
52,04/08/15 09:57:31 AM,15.5830,57.785,,
