"Plot Title: MC5 Air - 10569713"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10569713, SEN S/N: 10569713)","Temp, °F (LGR S/N: 10569713, SEN S/N: 10569713)","Coupler Detached (LGR S/N: 10569713, SEN S/N: 10569713)","End Of File (LGR S/N: 10569713, SEN S/N: 10569713)"
1,05/11/15 09:37:18 AM,14.4033,73.407,,
2,05/11/15 09:37:50 AM,,,Logged,
3,05/11/15 09:42:18 AM,14.4034,76.006,,
4,05/11/15 09:47:18 AM,14.4011,75.659,,
5,05/11/15 09:52:18 AM,14.4018,75.312,,
6,05/11/15 09:57:18 AM,14.3996,74.964,,
7,05/11/15 10:02:18 AM,14.4021,74.791,,
8,05/11/15 10:07:18 AM,14.4014,74.446,,
9,05/11/15 10:12:18 AM,14.4009,74.271,,
10,05/11/15 10:17:18 AM,14.4005,74.098,,
11,05/11/15 10:22:18 AM,14.3983,73.753,,
12,05/11/15 10:27:18 AM,14.3993,73.580,,
13,05/11/15 10:32:18 AM,14.3991,73.407,,
14,05/11/15 10:37:18 AM,14.3991,73.407,,
15,05/11/15 10:42:18 AM,14.4001,73.234,,
16,05/11/15 10:47:18 AM,14.3982,73.062,,
17,05/11/15 10:52:18 AM,14.3964,72.891,,
18,05/11/15 10:57:18 AM,14.3960,72.718,,
19,05/11/15 11:02:18 AM,14.3960,72.718,,
20,05/11/15 11:07:18 AM,14.3972,72.545,,
21,05/11/15 11:12:18 AM,14.3957,72.545,,
22,05/11/15 11:17:18 AM,14.3982,72.372,,
23,05/11/15 11:22:18 AM,14.3967,72.372,,
24,05/11/15 11:27:18 AM,14.3963,72.199,,
25,05/11/15 11:32:18 AM,14.3949,72.199,,
26,05/11/15 11:37:18 AM,14.3946,72.028,,
27,05/11/15 11:42:18 AM,14.3931,72.028,,
28,05/11/15 11:47:18 AM,14.3927,71.856,,
29,05/11/15 11:52:18 AM,14.3912,71.856,,
30,05/11/15 11:57:18 AM,14.3899,71.856,,
31,05/11/15 12:02:18 PM,14.3924,71.683,,
32,05/11/15 12:07:18 PM,14.3909,71.683,,
33,05/11/15 12:12:18 PM,14.3909,71.683,,
34,05/11/15 12:17:18 PM,14.3890,71.512,,
35,05/11/15 12:22:18 PM,14.3876,71.512,,
36,05/11/15 12:27:18 PM,14.3876,71.512,,
37,05/11/15 12:32:18 PM,14.3876,71.512,,
38,05/11/15 12:37:18 PM,14.3888,71.339,,
39,05/11/15 12:42:18 PM,14.3888,71.339,,
40,05/11/15 12:47:18 PM,14.3859,71.339,,
41,05/11/15 12:52:18 PM,14.3844,71.339,,
42,05/11/15 12:57:18 PM,14.3844,71.339,,
43,05/11/15 01:02:18 PM,14.3815,71.339,,
44,05/11/15 01:07:18 PM,14.3827,71.168,,
45,05/11/15 01:12:18 PM,14.3812,71.168,,
