STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp,MonthlyAverageRH,MonthlyDewpointTemp,MonthlyWetBulbTemp,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall,MonthlyDeptFromNormalMaximumTemp,MonthlyDeptFromNormalMinimumTemp,MonthlyDeptFromNormalAverageTemp,MonthlyDeptFromNormalPrecip,MonthlyTotalLiquidPrecip,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT32Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT1Snow,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureDate,MonthlyMaxSeaLevelPressureTime,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureDate,MonthlyMinSeaLevelPressureTime,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyDeptFromNormalHeatingDD,MonthlyDeptFromNormalCoolingDD,MonthlyTotalSeasonToDateHeatingDD,MonthlyTotalSeasonToDateCoolingDD
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,3/1/2015 0:41,FM-16,OVC:08 28,10,,36,2,31,-0.8,14,-10,41,7,60,,29.8,,,,,30.63,,,,,,,,,,654,1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,3/1/2015 0:52,FM-15,OVC:08 28,10,,36,2.2,31,-0.8,14,-10,40,9,50,,29.8,8,,30.64,0,30.63,,,,,,,,,,654,1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,3/1/2015 1:00,FM-12,26,,,36,2.2,31,-0.8,14,-10,40,9,50,,29.85,8,0.04,30.64,,,40,29,34,-13.1,,,,31,0,654,1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,3/1/2015 1:52,FM-15,OVC:08 28,10,,35,1.7,30,-1.3,13,-10.6,40,8,50,,29.79,,,30.63,T,30.62,,,,,,,,,,654,1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,3/1/2015 2:52,FM-15,OVC:08 22,10,,33,0.6,29,-1.7,21,-6.1,61,6,10,,29.77,,,30.62,0.01,30.6,,,,,,,,,,654,1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,3/1/2015 3:52,FM-15,OVC:08 18,10,,32,0,29,-1.8,23,-5,69,3,330,,29.76,8,,30.6,0.01,30.59,,,,,,,,,,654,1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,3/1/2015 4:00,FM-12,15,,,32,0,29,-1.8,23,-5,69,3,330,,29.81,8,0.04,30.6,,,,,,,,,,,,654,1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,3/1/2015 4:52,FM-15,OVC:08 16,10,,31,-0.6,29,-1.8,25,-3.9,79,8,360,,29.75,,,30.59,0.01,30.58,,,,,,,,,,654,1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,3/1/2015 5:24,FM-16,OVC:08 16,10,-DZ:01 |FZDZ:54 |,30,-1,28,-2.2,25,-4,80,7,10,,29.74,,,,T,30.57,,,,,,,,,,654,1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,3/1/2015 5:32,FM-16,OVC:08 14,7,-RA:02 |FZRA:64 |,30,-1,28,-2.2,25,-4,80,6,10,,29.75,,,,0.01,30.58,,,,,,,,,,654,1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
