"Plot Title: MC5 Air - 10569713"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10569713, SEN S/N: 10569713)","Temp, °F (LGR S/N: 10569713, SEN S/N: 10569713)","Coupler Detached (LGR S/N: 10569713, SEN S/N: 10569713)","Coupler Attached (LGR S/N: 10569713, SEN S/N: 10569713)","Stopped (LGR S/N: 10569713, SEN S/N: 10569713)","End Of File (LGR S/N: 10569713, SEN S/N: 10569713)"
1,11/10/15 12:52:18 PM,14.3888,74.619,Logged,,,
2,11/10/15 12:57:18 PM,14.3877,74.791,,,,
3,11/10/15 01:02:18 PM,14.3892,74.791,,,,
4,11/10/15 01:07:18 PM,14.3853,74.964,,,,
5,11/10/15 01:12:18 PM,14.3856,75.139,,,,
6,11/10/15 01:17:18 PM,14.3856,75.139,,,,
7,11/10/15 01:22:18 PM,14.3838,74.964,,,,
8,11/10/15 01:27:18 PM,14.3843,75.139,,,,
9,11/10/15 01:32:18 PM,14.3824,74.964,,,,
10,11/10/15 01:37:18 PM,14.3819,74.791,,,,
11,11/10/15 01:42:18 PM,14.3788,74.619,,,,
12,11/10/15 01:47:18 PM,14.3788,74.619,,,,
13,11/10/15 01:52:18 PM,14.3766,74.271,,,,
14,11/10/15 01:57:18 PM,14.3766,74.271,,,,
15,11/10/15 02:02:18 PM,14.3737,74.271,,,,
16,11/10/15 02:07:18 PM,14.3722,74.271,,,,
17,11/10/15 02:12:18 PM,14.3705,74.098,,,,
18,11/10/15 02:17:18 PM,14.3729,73.926,,,,
19,11/10/15 02:22:18 PM,14.3711,73.753,,,,
20,11/10/15 02:27:18 PM,14.3725,73.753,,,,
21,11/10/15 02:32:18 PM,14.3706,73.580,,,,
22,11/10/15 02:37:18 PM,14.3679,73.580,,,,
23,11/10/15 02:42:18 PM,14.3696,73.753,,,,
24,11/10/15 02:47:18 PM,14.3682,73.753,,,,
25,11/10/15 02:52:18 PM,14.3667,73.753,,,,
26,11/10/15 02:57:18 PM,14.3650,73.580,,,,
27,11/10/15 03:02:18 PM,14.3645,73.407,,,,
