"Plot Title: MC5 Water Level - 10569715"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10569715, SEN S/N: 10569715)","Temp, °F (LGR S/N: 10569715, SEN S/N: 10569715)","Coupler Detached (LGR S/N: 10569715, SEN S/N: 10569715)","Coupler Attached (LGR S/N: 10569715, SEN S/N: 10569715)","Stopped (LGR S/N: 10569715, SEN S/N: 10569715)","End Of File (LGR S/N: 10569715, SEN S/N: 10569715)"
1,11/10/15 12:54:02 PM,15.7248,63.111,Logged,,,
2,11/10/15 12:59:02 PM,15.6639,61.054,,,,
3,11/10/15 01:04:02 PM,15.6506,60.883,,,,
4,11/10/15 01:09:02 PM,15.6478,60.883,,,,
5,11/10/15 01:14:02 PM,15.6420,60.883,,,,
6,11/10/15 01:19:02 PM,15.6393,60.883,,,,
7,11/10/15 01:24:02 PM,15.6397,61.054,,,,
8,11/10/15 01:29:02 PM,15.6383,61.054,,,,
9,11/10/15 01:34:02 PM,15.6339,61.054,,,,
10,11/10/15 01:39:02 PM,15.6312,61.054,,,,
11,11/10/15 01:44:02 PM,15.6312,61.054,,,,
12,11/10/15 01:49:02 PM,15.6268,61.054,,,,
13,11/10/15 01:54:02 PM,15.6268,61.054,,,,
14,11/10/15 01:59:02 PM,15.6268,61.054,,,,
15,11/10/15 02:04:02 PM,15.6240,61.054,,,,
16,11/10/15 02:09:02 PM,15.6197,61.054,,,,
17,11/10/15 02:14:02 PM,15.6184,61.054,,,,
18,11/10/15 02:19:02 PM,15.6184,61.054,,,,
19,11/10/15 02:24:02 PM,15.6169,61.054,,,,
20,11/10/15 02:29:02 PM,15.6140,61.054,,,,
21,11/10/15 02:34:02 PM,15.6130,61.227,,,,
22,11/10/15 02:39:02 PM,15.6117,61.227,,,,
23,11/10/15 02:44:02 PM,15.6117,61.227,,,,
24,11/10/15 02:49:02 PM,15.6103,61.227,,,,
25,11/10/15 02:54:02 PM,15.6088,61.227,,,,
26,11/10/15 02:59:02 PM,15.6074,61.227,,,,
27,11/10/15 03:04:02 PM,15.6059,61.227,,,,
28,11/10/15 03:09:02 PM,15.6046,61.227,,,,
29,11/10/15 03:14:02 PM,15.6003,61.227,,,,
30,11/10/15 03:19:02 PM,15.5988,61.227,,,,
31,11/10/15 03:24:02 PM,15.5988,61.227,,,,
32,11/10/15 03:29:02 PM,15.5974,61.227,,,,
33,11/10/15 03:34:02 PM,15.5961,61.227,,,,
34,11/10/15 03:39:02 PM,15.5961,61.227,,,,
35,11/10/15 03:44:02 PM,15.5946,61.227,,,,
36,11/10/15 03:49:02 PM,15.5917,61.227,,,,
37,11/10/15 03:54:02 PM,15.5932,61.227,,,,
38,11/10/15 03:59:02 PM,15.5889,61.227,,,,
39,11/10/15 04:04:02 PM,15.5889,61.227,,,,
40,11/10/15 04:09:02 PM,15.5889,61.227,,,,
41,11/10/15 04:14:02 PM,15.5875,61.227,,,,
42,11/10/15 04:19:02 PM,15.5889,61.227,,,,
43,11/10/15 04:24:02 PM,15.5860,61.227,,,,
44,11/10/15 04:29:02 PM,15.5850,61.398,,,,
45,11/10/15 04:34:02 PM,15.5850,61.398,,,,
46,11/10/15 04:39:02 PM,15.5836,61.398,,,,
47,11/10/15 04:44:02 PM,15.5823,61.398,,,,
48,11/10/15 04:49:02 PM,15.5823,61.398,,,,
49,11/10/15 04:54:02 PM,15.5823,61.398,,,,
50,11/10/15 04:59:02 PM,15.5823,61.398,,,,
51,11/10/15 05:04:02 PM,15.5808,61.398,,,,
52,11/10/15 05:09:02 PM,15.5823,61.398,,,,
53,11/10/15 05:14:02 PM,15.5808,61.398,,,,
54,11/10/15 05:19:02 PM,15.5836,61.398,,,,
55,11/10/15 05:24:02 PM,15.5823,61.398,,,,
56,11/10/15 05:29:02 PM,15.5808,61.398,,,,
57,11/10/15 05:34:02 PM,15.5808,61.398,,,,
58,11/10/15 05:39:02 PM,15.5794,61.398,,,,
59,11/10/15 05:44:02 PM,15.5823,61.398,,,,
60,11/10/15 05:49:02 PM,15.5808,61.398,,,,
61,11/10/15 05:54:02 PM,15.5779,61.398,,,,
62,11/10/15 05:59:02 PM,15.5779,61.398,,,,
63,11/10/15 06:04:02 PM,15.5808,61.398,,,,
64,11/10/15 06:09:02 PM,15.5794,61.398,,,,
65,11/10/15 06:14:02 PM,15.5765,61.398,,,,
66,11/10/15 06:19:02 PM,15.5765,61.398,,,,
67,11/10/15 06:24:02 PM,15.5779,61.398,,,,
68,11/10/15 06:29:02 PM,15.5779,61.398,,,,
69,11/10/15 06:34:02 PM,15.5794,61.398,,,,
70,11/10/15 06:39:02 PM,15.5779,61.398,,,,
71,11/10/15 06:44:02 PM,15.5779,61.398,,,,
72,11/10/15 06:49:02 PM,15.5794,61.398,,,,
73,11/10/15 06:54:02 PM,15.5794,61.398,,,,
74,11/10/15 06:59:02 PM,15.5784,61.569,,,,
75,11/10/15 07:04:02 PM,15.5808,61.398,,,,
76,11/10/15 07:09:02 PM,15.5808,61.398,,,,
77,11/10/15 07:14:02 PM,15.5808,61.398,,,,
78,11/10/15 07:19:02 PM,15.5836,61.398,,,,
79,11/10/15 07:24:02 PM,15.5836,61.398,,,,
80,11/10/15 07:29:02 PM,15.5794,61.398,,,,
81,11/10/15 07:34:02 PM,15.5794,61.398,,,,
82,11/10/15 07:39:02 PM,15.5836,61.398,,,,
83,11/10/15 07:44:02 PM,15.5836,61.398,,,,
84,11/10/15 07:49:02 PM,15.5823,61.398,,,,
85,11/10/15 07:54:02 PM,15.5836,61.398,,,,
86,11/10/15 07:59:02 PM,15.5850,61.398,,,,
87,11/10/15 08:04:02 PM,15.5850,61.398,,,,
88,11/10/15 08:09:02 PM,15.5865,61.398,,,,
89,11/10/15 08:14:02 PM,15.5836,61.398,,,,
90,11/10/15 08:19:02 PM,15.5836,61.398,,,,
91,11/10/15 08:24:02 PM,15.5865,61.398,,,,
92,11/10/15 08:29:02 PM,15.5879,61.398,,,,
93,11/10/15 08:34:02 PM,15.5879,61.398,,,,
94,11/10/15 08:39:02 PM,15.5865,61.398,,,,
95,11/10/15 08:44:02 PM,15.5879,61.398,,,,
96,11/10/15 08:49:02 PM,15.5921,61.398,,,,
97,11/10/15 08:54:02 PM,15.5894,61.398,,,,
98,11/10/15 08:59:02 PM,15.5903,61.227,,,,
99,11/10/15 09:04:02 PM,15.5903,61.227,,,,
100,11/10/15 09:09:02 PM,15.5917,61.227,,,,
101,11/10/15 09:14:02 PM,15.5903,61.227,,,,
102,11/10/15 09:19:02 PM,15.5903,61.227,,,,
103,11/10/15 09:24:02 PM,15.5889,61.227,,,,
104,11/10/15 09:29:02 PM,15.5889,61.227,,,,
105,11/10/15 09:34:02 PM,15.5889,61.227,,,,
106,11/10/15 09:39:02 PM,15.5903,61.227,,,,
107,11/10/15 09:44:02 PM,15.5903,61.227,,,,
108,11/10/15 09:49:02 PM,15.5889,61.227,,,,
109,11/10/15 09:54:02 PM,15.5875,61.227,,,,
110,11/10/15 09:59:02 PM,15.5889,61.227,,,,
111,11/10/15 10:04:02 PM,15.5875,61.227,,,,
112,11/10/15 10:09:02 PM,15.5889,61.227,,,,
113,11/10/15 10:14:02 PM,15.5889,61.227,,,,
114,11/10/15 10:19:02 PM,15.5889,61.227,,,,
115,11/10/15 10:24:02 PM,15.5860,61.227,,,,
116,11/10/15 10:29:02 PM,15.5871,61.054,,,,
117,11/10/15 10:34:02 PM,15.5856,61.054,,,,
118,11/10/15 10:39:02 PM,15.5885,61.054,,,,
119,11/10/15 10:44:02 PM,15.5898,61.054,,,,
120,11/10/15 10:49:02 PM,15.5885,61.054,,,,
121,11/10/15 10:54:02 PM,15.5871,61.054,,,,
122,11/10/15 10:59:02 PM,15.5856,61.054,,,,
123,11/10/15 11:04:02 PM,15.5871,61.054,,,,
124,11/10/15 11:09:02 PM,15.5898,61.054,,,,
125,11/10/15 11:14:02 PM,15.5871,61.054,,,,
126,11/10/15 11:19:02 PM,15.5871,61.054,,,,
127,11/10/15 11:24:02 PM,15.5856,61.054,,,,
128,11/10/15 11:29:02 PM,15.5871,61.054,,,,
129,11/10/15 11:34:02 PM,15.5856,61.054,,,,
130,11/10/15 11:39:02 PM,15.5871,61.054,,,,
131,11/10/15 11:44:02 PM,15.5871,61.054,,,,
132,11/10/15 11:49:02 PM,15.5856,61.054,,,,
133,11/10/15 11:54:02 PM,15.5856,61.054,,,,
134,11/10/15 11:59:02 PM,15.5871,61.054,,,,
135,11/11/15 12:04:02 AM,15.5866,60.883,,,,
136,11/11/15 12:09:02 AM,15.5837,60.883,,,,
137,11/11/15 12:14:02 AM,15.5837,60.883,,,,
138,11/11/15 12:19:02 AM,15.5866,60.883,,,,
139,11/11/15 12:24:02 AM,15.5837,60.883,,,,
140,11/11/15 12:29:02 AM,15.5823,60.883,,,,
141,11/11/15 12:34:02 AM,15.5837,60.883,,,,
142,11/11/15 12:39:02 AM,15.5795,60.883,,,,
143,11/11/15 12:44:02 AM,15.5808,60.883,,,,
144,11/11/15 12:49:02 AM,15.5808,60.883,,,,
145,11/11/15 12:54:02 AM,15.5795,60.883,,,,
146,11/11/15 12:59:02 AM,15.5781,60.883,,,,
147,11/11/15 01:04:02 AM,15.5781,60.883,,,,
148,11/11/15 01:09:02 AM,15.5766,60.883,,,,
149,11/11/15 01:14:02 AM,15.5752,60.883,,,,
150,11/11/15 01:19:02 AM,15.5752,60.883,,,,
151,11/11/15 01:24:02 AM,15.5752,60.883,,,,
152,11/11/15 01:29:02 AM,15.5752,60.883,,,,
153,11/11/15 01:34:02 AM,15.5724,60.883,,,,
154,11/11/15 01:39:02 AM,15.5747,60.712,,,,
155,11/11/15 01:44:02 AM,15.5733,60.712,,,,
156,11/11/15 01:49:02 AM,15.5762,60.712,,,,
157,11/11/15 01:54:02 AM,15.5733,60.712,,,,
158,11/11/15 01:59:02 AM,15.5733,60.712,,,,
159,11/11/15 02:04:02 AM,15.5718,60.712,,,,
160,11/11/15 02:09:02 AM,15.5718,60.712,,,,
161,11/11/15 02:14:02 AM,15.5718,60.712,,,,
162,11/11/15 02:19:02 AM,15.5718,60.712,,,,
163,11/11/15 02:24:02 AM,15.5718,60.712,,,,
164,11/11/15 02:29:02 AM,15.5691,60.712,,,,
165,11/11/15 02:34:02 AM,15.5705,60.712,,,,
166,11/11/15 02:39:02 AM,15.5705,60.712,,,,
167,11/11/15 02:44:02 AM,15.5718,60.712,,,,
