"Plot Title: MC5 Water Level - 10569715"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10569715, SEN S/N: 10569715)","Temp, °F (LGR S/N: 10569715, SEN S/N: 10569715)","Coupler Detached (LGR S/N: 10569715, SEN S/N: 10569715)","Coupler Attached (LGR S/N: 10569715, SEN S/N: 10569715)","Stopped (LGR S/N: 10569715, SEN S/N: 10569715)","End Of File (LGR S/N: 10569715, SEN S/N: 10569715)"
1,08/05/15 10:09:02 AM,15.3053,76.006,Logged,,,
2,08/05/15 10:14:02 AM,15.2783,74.446,,,,
3,08/05/15 10:19:02 AM,15.2716,74.098,,,,
4,08/05/15 10:24:02 AM,15.2678,73.753,,,,
5,08/05/15 10:29:02 AM,15.2664,73.753,,,,
6,08/05/15 10:34:02 AM,15.2659,73.580,,,,
7,08/05/15 10:39:02 AM,15.2645,73.580,,,,
8,08/05/15 10:44:02 AM,15.2630,73.580,,,,
9,08/05/15 10:49:02 AM,15.2659,73.580,,,,
10,08/05/15 10:54:02 AM,15.2670,73.407,,,,
11,08/05/15 10:59:02 AM,15.2683,73.407,,,,
12,08/05/15 11:04:02 AM,15.2683,73.407,,,,
13,08/05/15 11:09:02 AM,15.2670,73.407,,,,
14,08/05/15 11:14:02 AM,15.2655,73.407,,,,
15,08/05/15 11:19:02 AM,15.2655,73.407,,,,
16,08/05/15 11:24:02 AM,15.2655,73.407,,,,
17,08/05/15 11:29:02 AM,15.2670,73.407,,,,
18,08/05/15 11:34:02 AM,15.2655,73.407,,,,
19,08/05/15 11:39:02 AM,15.2636,73.234,,,,
20,08/05/15 11:44:02 AM,15.2622,73.234,,,,
21,08/05/15 11:49:02 AM,15.2622,73.234,,,,
22,08/05/15 11:54:02 AM,15.2622,73.234,,,,
23,08/05/15 11:59:02 AM,15.2580,73.234,,,,
24,08/05/15 12:04:02 PM,15.2593,73.234,,,,
25,08/05/15 12:09:02 PM,15.2580,73.234,,,,
26,08/05/15 12:14:02 PM,15.2580,73.234,,,,
27,08/05/15 12:19:02 PM,15.2565,73.234,,,,
28,08/05/15 12:24:02 PM,15.2565,73.234,,,,
29,08/05/15 12:29:02 PM,15.2551,73.234,,,,
30,08/05/15 12:34:02 PM,15.2565,73.234,,,,
31,08/05/15 12:39:02 PM,15.2536,73.234,,,,
32,08/05/15 12:44:02 PM,15.2507,73.234,,,,
33,08/05/15 12:49:02 PM,15.2522,73.234,,,,
34,08/05/15 12:54:02 PM,15.2522,73.234,,,,
35,08/05/15 12:59:02 PM,15.2480,73.234,,,,
36,08/05/15 01:04:02 PM,15.2480,73.234,,,,
37,08/05/15 01:09:02 PM,15.2465,73.234,,,,
38,08/05/15 01:14:02 PM,15.2494,73.234,,,,
39,08/05/15 01:19:02 PM,15.2480,73.234,,,,
40,08/05/15 01:24:02 PM,15.2480,73.234,,,,
41,08/05/15 01:29:02 PM,15.2465,73.234,,,,
42,08/05/15 01:34:02 PM,15.2436,73.234,,,,
43,08/05/15 01:39:02 PM,15.2423,73.234,,,,
44,08/05/15 01:44:02 PM,15.2423,73.234,,,,
45,08/05/15 01:49:02 PM,15.2423,73.234,,,,
46,08/05/15 01:54:02 PM,15.2394,73.234,,,,
47,08/05/15 01:59:02 PM,15.2394,73.234,,,,
48,08/05/15 02:04:02 PM,15.2380,73.234,,,,
49,08/05/15 02:09:02 PM,15.2380,73.234,,,,
50,08/05/15 02:14:02 PM,15.2352,73.234,,,,
51,08/05/15 02:19:02 PM,15.2323,73.234,,,,
52,08/05/15 02:24:02 PM,15.2337,73.234,,,,
53,08/05/15 02:29:02 PM,15.2323,73.234,,,,
54,08/05/15 02:34:02 PM,15.2323,73.234,,,,
55,08/05/15 02:39:02 PM,15.2337,73.234,,,,
56,08/05/15 02:44:02 PM,15.2337,73.234,,,,
57,08/05/15 02:49:02 PM,15.2337,73.234,,,,
58,08/05/15 02:54:02 PM,15.2308,73.234,,,,
59,08/05/15 02:59:02 PM,15.2294,73.234,,,,
60,08/05/15 03:04:02 PM,15.2266,73.234,,,,
61,08/05/15 03:09:02 PM,15.2252,73.234,,,,
62,08/05/15 03:14:02 PM,15.2237,73.234,,,,
63,08/05/15 03:19:02 PM,15.2227,73.407,,,,
64,08/05/15 03:24:02 PM,15.2227,73.407,,,,
65,08/05/15 03:29:02 PM,15.2200,73.407,,,,
66,08/05/15 03:34:02 PM,15.2185,73.407,,,,
67,08/05/15 03:39:02 PM,15.2156,73.407,,,,
68,08/05/15 03:44:02 PM,15.2171,73.407,,,,
69,08/05/15 03:49:02 PM,15.2143,73.407,,,,
70,08/05/15 03:54:02 PM,15.2129,73.407,,,,
71,08/05/15 03:59:02 PM,15.2143,73.407,,,,
72,08/05/15 04:04:02 PM,15.2129,73.407,,,,
73,08/05/15 04:09:02 PM,15.2114,73.407,,,,
74,08/05/15 04:14:02 PM,15.2100,73.407,,,,
75,08/05/15 04:19:02 PM,15.2072,73.407,,,,
76,08/05/15 04:24:02 PM,15.2014,73.407,,,,
77,08/05/15 04:29:02 PM,15.2029,73.407,,,,
78,08/05/15 04:34:02 PM,15.2047,73.580,,,,
79,08/05/15 04:39:02 PM,15.2033,73.580,,,,
80,08/05/15 04:44:02 PM,15.2033,73.580,,,,
81,08/05/15 04:49:02 PM,15.2033,73.580,,,,
82,08/05/15 04:54:02 PM,15.2018,73.580,,,,
83,08/05/15 04:59:02 PM,15.2033,73.580,,,,
84,08/05/15 05:04:02 PM,15.2005,73.580,,,,
85,08/05/15 05:09:02 PM,15.1991,73.580,,,,
86,08/05/15 05:14:02 PM,15.2005,73.580,,,,
87,08/05/15 05:19:02 PM,15.2005,73.580,,,,
88,08/05/15 05:24:02 PM,15.1976,73.580,,,,
89,08/05/15 05:29:02 PM,15.1991,73.580,,,,
90,08/05/15 05:34:02 PM,15.1976,73.580,,,,
91,08/05/15 05:39:02 PM,15.1976,73.580,,,,
92,08/05/15 05:44:02 PM,15.1962,73.580,,,,
93,08/05/15 05:49:02 PM,15.1966,73.753,,,,
94,08/05/15 05:54:02 PM,15.1966,73.753,,,,
95,08/05/15 05:59:02 PM,15.1966,73.753,,,,
96,08/05/15 06:04:02 PM,15.1953,73.753,,,,
97,08/05/15 06:09:02 PM,15.1966,73.753,,,,
98,08/05/15 06:14:02 PM,15.1966,73.753,,,,
99,08/05/15 06:19:02 PM,15.1953,73.753,,,,
100,08/05/15 06:24:02 PM,15.1966,73.753,,,,
101,08/05/15 06:29:02 PM,15.1981,73.753,,,,
102,08/05/15 06:34:02 PM,15.1981,73.753,,,,
103,08/05/15 06:39:02 PM,15.1981,73.753,,,,
104,08/05/15 06:44:02 PM,15.1981,73.753,,,,
105,08/05/15 06:49:02 PM,15.2010,73.753,,,,
106,08/05/15 06:54:02 PM,15.1995,73.753,,,,
107,08/05/15 06:59:02 PM,15.2014,73.926,,,,
108,08/05/15 07:04:02 PM,15.2014,73.926,,,,
109,08/05/15 07:09:02 PM,15.2014,73.926,,,,
110,08/05/15 07:14:02 PM,15.2043,73.926,,,,
111,08/05/15 07:19:02 PM,15.2029,73.926,,,,
112,08/05/15 07:24:02 PM,15.2029,73.926,,,,
113,08/05/15 07:29:02 PM,15.2014,73.926,,,,
114,08/05/15 07:34:02 PM,15.2029,73.926,,,,
115,08/05/15 07:39:02 PM,15.2056,73.926,,,,
116,08/05/15 07:44:02 PM,15.2043,73.926,,,,
117,08/05/15 07:49:02 PM,15.2056,73.926,,,,
118,08/05/15 07:54:02 PM,15.2071,73.926,,,,
119,08/05/15 07:59:02 PM,15.2071,73.926,,,,
120,08/05/15 08:04:02 PM,15.2100,73.926,,,,
121,08/05/15 08:09:02 PM,15.2114,73.926,,,,
122,08/05/15 08:14:02 PM,15.2114,73.926,,,,
123,08/05/15 08:19:02 PM,15.2118,74.098,,,,
124,08/05/15 08:24:02 PM,15.2118,74.098,,,,
125,08/05/15 08:29:02 PM,15.2133,74.098,,,,
126,08/05/15 08:34:02 PM,15.2118,74.098,,,,
127,08/05/15 08:39:02 PM,15.2118,74.098,,,,
128,08/05/15 08:44:02 PM,15.2118,74.098,,,,
129,08/05/15 08:49:02 PM,15.2118,74.098,,,,
130,08/05/15 08:54:02 PM,15.2118,74.098,,,,
131,08/05/15 08:59:02 PM,15.2133,74.098,,,,
132,08/05/15 09:04:02 PM,15.2147,74.098,,,,
133,08/05/15 09:09:02 PM,15.2147,74.098,,,,
134,08/05/15 09:14:02 PM,15.2161,74.098,,,,
135,08/05/15 09:19:02 PM,15.2147,74.098,,,,
136,08/05/15 09:24:02 PM,15.2147,74.098,,,,
137,08/05/15 09:29:02 PM,15.2133,74.098,,,,
138,08/05/15 09:34:02 PM,15.2133,74.098,,,,
139,08/05/15 09:39:02 PM,15.2133,74.098,,,,
140,08/05/15 09:44:02 PM,15.2133,74.098,,,,
