"Plot Title: MC5 Water Level - 10569715"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10569715, SEN S/N: 10569715)","Temp, °F (LGR S/N: 10569715, SEN S/N: 10569715)","Coupler Detached (LGR S/N: 10569715, SEN S/N: 10569715)","Coupler Attached (LGR S/N: 10569715, SEN S/N: 10569715)","Stopped (LGR S/N: 10569715, SEN S/N: 10569715)","End Of File (LGR S/N: 10569715, SEN S/N: 10569715)"
1,07/17/15 02:14:02 PM,14.4197,73.234,Logged,,,
2,07/17/15 02:19:02 PM,15.3250,71.168,,,,
3,07/17/15 02:24:02 PM,15.3093,70.651,,,,
4,07/17/15 02:29:02 PM,15.2999,70.308,,,,
5,07/17/15 02:34:02 PM,15.2966,70.137,,,,
6,07/17/15 02:39:02 PM,15.2909,70.137,,,,
7,07/17/15 02:44:02 PM,15.2905,69.964,,,,
8,07/17/15 02:49:02 PM,15.2876,69.964,,,,
9,07/17/15 02:54:02 PM,15.2847,69.964,,,,
10,07/17/15 02:59:02 PM,15.2815,69.793,,,,
11,07/17/15 03:04:02 PM,15.2815,69.793,,,,
12,07/17/15 03:09:02 PM,15.2800,69.793,,,,
13,07/17/15 03:14:02 PM,15.2786,69.793,,,,
14,07/17/15 03:19:02 PM,15.2739,69.622,,,,
15,07/17/15 03:24:02 PM,15.2767,69.622,,,,
16,07/17/15 03:29:02 PM,15.2752,69.622,,,,
17,07/17/15 03:34:02 PM,15.2752,69.622,,,,
18,07/17/15 03:39:02 PM,15.2710,69.622,,,,
19,07/17/15 03:44:02 PM,15.2710,69.622,,,,
20,07/17/15 03:49:02 PM,15.2696,69.622,,,,
21,07/17/15 03:54:02 PM,15.2696,69.622,,,,
22,07/17/15 03:59:02 PM,15.2696,69.622,,,,
23,07/17/15 04:04:02 PM,15.2681,69.622,,,,
24,07/17/15 04:09:02 PM,15.2667,69.622,,,,
25,07/17/15 04:14:02 PM,15.2654,69.622,,,,
26,07/17/15 04:19:02 PM,15.2625,69.622,,,,
27,07/17/15 04:24:02 PM,15.2625,69.622,,,,
28,07/17/15 04:29:02 PM,15.2606,69.449,,,,
29,07/17/15 04:34:02 PM,15.2606,69.449,,,,
30,07/17/15 04:39:02 PM,15.2577,69.449,,,,
31,07/17/15 04:44:02 PM,15.2591,69.449,,,,
32,07/17/15 04:49:02 PM,15.2591,69.449,,,,
33,07/17/15 04:54:02 PM,15.2577,69.449,,,,
34,07/17/15 04:59:02 PM,15.2577,69.449,,,,
35,07/17/15 05:04:02 PM,15.2549,69.449,,,,
36,07/17/15 05:09:02 PM,15.2564,69.449,,,,
37,07/17/15 05:14:02 PM,15.2591,69.449,,,,
38,07/17/15 05:19:02 PM,15.2564,69.449,,,,
