"Plot Title: MC5 Water Level - 10569715"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10569715, SEN S/N: 10569715)","Temp, °F (LGR S/N: 10569715, SEN S/N: 10569715)","Coupler Detached (LGR S/N: 10569715, SEN S/N: 10569715)","Coupler Attached (LGR S/N: 10569715, SEN S/N: 10569715)","Stopped (LGR S/N: 10569715, SEN S/N: 10569715)","End Of File (LGR S/N: 10569715, SEN S/N: 10569715)"
1,05/11/15 09:44:02 AM,14.4028,75.484,,,,
2,05/11/15 09:44:23 AM,,,Logged,,,
3,05/11/15 09:49:02 AM,14.4008,76.354,,,,
4,05/11/15 09:54:02 AM,14.4014,76.006,,,,
5,05/11/15 09:59:02 AM,14.3991,75.659,,,,
6,05/11/15 10:04:02 AM,14.4009,75.312,,,,
7,05/11/15 10:09:02 AM,14.4001,74.964,,,,
8,05/11/15 10:14:02 AM,14.3996,74.791,,,,
9,05/11/15 10:19:02 AM,14.3988,74.446,,,,
10,05/11/15 10:24:02 AM,14.3983,74.271,,,,
11,05/11/15 10:29:02 AM,14.3979,74.098,,,,
12,05/11/15 10:34:02 AM,14.3983,73.753,,,,
13,05/11/15 10:39:02 AM,14.4008,73.580,,,,
14,05/11/15 10:44:02 AM,14.3993,73.580,,,,
15,05/11/15 10:49:02 AM,14.3975,73.407,,,,
16,05/11/15 10:54:02 AM,14.3970,73.234,,,,
17,05/11/15 10:59:02 AM,14.3966,73.062,,,,
18,05/11/15 11:04:02 AM,14.3962,72.891,,,,
19,05/11/15 11:09:02 AM,14.3962,72.891,,,,
20,05/11/15 11:14:02 AM,14.3972,72.718,,,,
21,05/11/15 11:19:02 AM,14.3957,72.718,,,,
22,05/11/15 11:24:02 AM,14.3967,72.545,,,,
23,05/11/15 11:29:02 AM,14.3953,72.545,,,,
24,05/11/15 11:34:02 AM,14.3919,72.372,,,,
25,05/11/15 11:39:02 AM,14.3930,72.199,,,,
26,05/11/15 11:44:02 AM,14.3930,72.199,,,,
27,05/11/15 11:49:02 AM,14.3911,72.028,,,,
28,05/11/15 11:54:02 AM,14.3911,72.028,,,,
29,05/11/15 11:59:02 AM,14.3911,72.028,,,,
30,05/11/15 12:04:02 PM,14.3921,71.856,,,,
31,05/11/15 12:09:02 PM,14.3906,71.856,,,,
32,05/11/15 12:14:02 PM,14.3935,71.856,,,,
33,05/11/15 12:19:02 PM,14.3888,71.683,,,,
34,05/11/15 12:24:02 PM,14.3917,71.683,,,,
35,05/11/15 12:29:02 PM,14.3902,71.683,,,,
36,05/11/15 12:34:02 PM,14.3898,71.512,,,,
37,05/11/15 12:39:02 PM,14.3883,71.512,,,,
38,05/11/15 12:44:02 PM,14.3883,71.512,,,,
39,05/11/15 12:49:02 PM,14.3870,71.512,,,,
40,05/11/15 12:54:02 PM,14.3856,71.512,,,,
41,05/11/15 12:59:02 PM,14.3851,71.339,,,,
42,05/11/15 01:04:02 PM,14.3851,71.339,,,,
43,05/11/15 01:09:02 PM,14.3851,71.339,,,,
44,05/11/15 01:14:02 PM,14.3837,71.339,,,,
45,05/11/15 01:19:02 PM,14.3847,71.168,,,,
46,05/11/15 01:24:02 PM,14.3818,71.168,,,,
47,05/11/15 01:29:02 PM,14.3847,71.168,,,,
48,05/11/15 01:34:02 PM,14.3818,71.168,,,,
49,05/11/15 01:39:02 PM,14.3801,70.995,,,,
50,05/11/15 01:44:02 PM,14.3801,70.995,,,,
51,05/11/15 01:49:02 PM,14.3786,70.995,,,,
52,05/11/15 01:54:02 PM,14.3814,70.995,,,,
53,05/11/15 01:59:02 PM,14.3796,70.824,,,,
54,05/11/15 02:04:02 PM,14.3782,70.824,,,,
55,05/11/15 02:09:02 PM,14.3782,70.824,,,,
56,05/11/15 02:14:02 PM,14.3767,70.824,,,,
57,05/11/15 02:19:02 PM,14.3753,70.824,,,,
58,05/11/15 02:24:02 PM,14.3763,70.651,,,,
59,05/11/15 02:29:02 PM,14.3734,70.651,,,,
60,05/11/15 02:34:02 PM,14.3748,70.651,,,,
61,05/11/15 02:39:02 PM,14.3721,70.651,,,,
62,05/11/15 02:44:02 PM,14.3692,70.651,,,,
63,05/11/15 02:49:02 PM,14.3677,70.651,,,,
64,05/11/15 02:54:02 PM,14.3673,70.480,,,,
65,05/11/15 02:59:02 PM,14.3660,70.480,,,,
66,05/11/15 03:04:02 PM,14.3645,70.480,,,,
67,05/11/15 03:09:02 PM,14.3616,70.480,,,,
68,05/11/15 03:14:02 PM,14.3616,70.480,,,,
69,05/11/15 03:19:02 PM,14.3589,70.480,,,,
70,05/11/15 03:24:02 PM,14.3574,70.480,,,,
71,05/11/15 03:29:02 PM,14.3560,70.480,,,,
72,05/11/15 03:34:02 PM,14.3541,70.308,,,,
73,05/11/15 03:39:02 PM,14.3541,70.308,,,,
74,05/11/15 03:44:02 PM,14.3528,70.308,,,,
75,05/11/15 03:49:02 PM,14.3499,70.308,,,,
76,05/11/15 03:54:02 PM,14.3499,70.308,,,,
77,05/11/15 03:59:02 PM,14.3528,70.308,,,,
78,05/11/15 04:04:02 PM,14.3484,70.308,,,,
79,05/11/15 04:09:02 PM,14.3499,70.308,,,,
80,05/11/15 04:14:02 PM,14.3499,70.308,,,,
81,05/11/15 04:19:02 PM,14.3495,70.137,,,,
82,05/11/15 04:24:02 PM,14.3509,70.137,,,,
83,05/11/15 04:29:02 PM,14.3495,70.137,,,,
84,05/11/15 04:34:02 PM,14.3467,70.137,,,,
85,05/11/15 04:39:02 PM,14.3480,70.137,,,,
86,05/11/15 04:44:02 PM,14.3495,70.137,,,,
87,05/11/15 04:49:02 PM,14.3467,70.137,,,,
88,05/11/15 04:54:02 PM,14.3452,70.137,,,,
89,05/11/15 04:59:02 PM,14.3452,70.137,,,,
90,05/11/15 05:04:02 PM,14.3452,70.137,,,,
91,05/11/15 05:09:02 PM,14.3452,70.137,,,,
92,05/11/15 05:14:02 PM,14.3438,70.137,,,,
93,05/11/15 05:19:02 PM,14.3438,70.137,,,,
94,05/11/15 05:24:02 PM,14.3419,69.964,,,,
95,05/11/15 05:29:02 PM,14.3392,69.964,,,,
96,05/11/15 05:34:02 PM,14.3392,69.964,,,,
97,05/11/15 05:39:02 PM,14.3392,69.964,,,,
98,05/11/15 05:44:02 PM,14.3406,69.964,,,,
99,05/11/15 05:49:02 PM,14.3434,69.964,,,,
100,05/11/15 05:54:02 PM,14.3406,69.964,,,,
101,05/11/15 05:59:02 PM,14.3406,69.964,,,,
102,05/11/15 06:04:02 PM,14.3444,69.793,,,,
103,05/11/15 06:09:02 PM,14.3444,69.793,,,,
104,05/11/15 06:14:02 PM,14.3444,69.793,,,,
105,05/11/15 06:19:02 PM,14.3458,69.793,,,,
106,05/11/15 06:24:02 PM,14.3458,69.793,,,,
107,05/11/15 06:29:02 PM,14.3458,69.793,,,,
108,05/11/15 06:34:02 PM,14.3471,69.793,,,,
109,05/11/15 06:39:02 PM,14.3500,69.793,,,,
110,05/11/15 06:44:02 PM,14.3486,69.793,,,,
111,05/11/15 06:49:02 PM,14.3515,69.793,,,,
112,05/11/15 06:54:02 PM,14.3500,69.793,,,,
113,05/11/15 06:59:02 PM,14.3515,69.793,,,,
114,05/11/15 07:04:02 PM,14.3510,69.622,,,,
115,05/11/15 07:09:02 PM,14.3510,69.622,,,,
116,05/11/15 07:14:02 PM,14.3525,69.622,,,,
117,05/11/15 07:19:02 PM,14.3538,69.622,,,,
118,05/11/15 07:24:02 PM,14.3538,69.622,,,,
119,05/11/15 07:29:02 PM,14.3525,69.622,,,,
120,05/11/15 07:34:02 PM,14.3553,69.622,,,,
121,05/11/15 07:39:02 PM,14.3567,69.622,,,,
122,05/11/15 07:44:02 PM,14.3595,69.622,,,,
123,05/11/15 07:49:02 PM,14.3595,69.622,,,,
124,05/11/15 07:54:02 PM,14.3595,69.622,,,,
125,05/11/15 07:59:02 PM,14.3609,69.622,,,,
126,05/11/15 08:04:02 PM,14.3609,69.622,,,,
127,05/11/15 08:09:02 PM,14.3609,69.622,,,,
128,05/11/15 08:14:02 PM,14.3609,69.622,,,,
129,05/11/15 08:19:02 PM,14.3609,69.622,,,,
130,05/11/15 08:24:02 PM,14.3609,69.622,,,,
131,05/11/15 08:29:02 PM,14.3624,69.622,,,,
132,05/11/15 08:34:02 PM,14.3624,69.622,,,,
133,05/11/15 08:39:02 PM,14.3676,69.449,,,,
134,05/11/15 08:44:02 PM,14.3676,69.449,,,,
135,05/11/15 08:49:02 PM,14.3676,69.449,,,,
136,05/11/15 08:54:02 PM,14.3690,69.449,,,,
137,05/11/15 08:59:02 PM,14.3676,69.449,,,,
138,05/11/15 09:04:02 PM,14.3705,69.449,,,,
139,05/11/15 09:09:02 PM,14.3690,69.449,,,,
140,05/11/15 09:14:02 PM,14.3705,69.449,,,,
141,05/11/15 09:19:02 PM,14.3718,69.449,,,,
142,05/11/15 09:24:02 PM,14.3705,69.449,,,,
143,05/11/15 09:29:02 PM,14.3718,69.449,,,,
144,05/11/15 09:34:02 PM,14.3732,69.449,,,,
145,05/11/15 09:39:02 PM,14.3747,69.449,,,,
146,05/11/15 09:44:02 PM,14.3747,69.449,,,,
147,05/11/15 09:49:02 PM,14.3789,69.449,,,,
148,05/11/15 09:54:02 PM,14.3761,69.449,,,,
149,05/11/15 09:59:02 PM,14.3789,69.449,,,,
150,05/11/15 10:04:02 PM,14.3789,69.449,,,,
151,05/11/15 10:09:02 PM,14.3774,69.449,,,,
152,05/11/15 10:14:02 PM,14.3803,69.449,,,,
153,05/11/15 10:19:02 PM,14.3803,69.449,,,,
154,05/11/15 10:24:02 PM,14.3803,69.449,,,,
155,05/11/15 10:29:02 PM,14.3818,69.449,,,,
156,05/11/15 10:34:02 PM,14.3831,69.449,,,,
157,05/11/15 10:39:02 PM,14.3789,69.449,,,,
158,05/11/15 10:44:02 PM,14.3774,69.449,,,,
159,05/11/15 10:49:02 PM,14.3774,69.449,,,,
160,05/11/15 10:54:02 PM,14.3789,69.449,,,,
161,05/11/15 10:59:02 PM,14.3774,69.449,,,,
162,05/11/15 11:04:02 PM,14.3774,69.449,,,,
163,05/11/15 11:09:02 PM,14.3761,69.449,,,,
164,05/11/15 11:14:02 PM,14.3761,69.449,,,,
165,05/11/15 11:19:02 PM,14.3761,69.449,,,,
166,05/11/15 11:24:02 PM,14.3761,69.449,,,,
167,05/11/15 11:29:02 PM,14.3789,69.449,,,,
168,05/11/15 11:34:02 PM,14.3774,69.449,,,,
169,05/11/15 11:39:02 PM,14.3774,69.449,,,,
170,05/11/15 11:44:02 PM,14.3789,69.449,,,,
171,05/11/15 11:49:02 PM,14.3774,69.449,,,,
172,05/11/15 11:54:02 PM,14.3789,69.449,,,,
173,05/11/15 11:59:02 PM,14.3803,69.449,,,,
174,05/12/15 12:04:02 AM,14.3803,69.449,,,,
175,05/12/15 12:09:02 AM,14.3761,69.449,,,,
176,05/12/15 12:14:02 AM,14.3774,69.449,,,,
177,05/12/15 12:19:02 AM,14.3789,69.449,,,,
178,05/12/15 12:24:02 AM,14.3774,69.449,,,,
179,05/12/15 12:29:02 AM,14.3789,69.449,,,,
180,05/12/15 12:34:02 AM,14.3761,69.449,,,,
181,05/12/15 12:39:02 AM,14.3747,69.449,,,,
182,05/12/15 12:44:02 AM,14.3732,69.449,,,,
183,05/12/15 12:49:02 AM,14.3705,69.449,,,,
184,05/12/15 12:54:02 AM,14.3705,69.449,,,,
185,05/12/15 12:59:02 AM,14.3718,69.449,,,,
186,05/12/15 01:04:02 AM,14.3705,69.449,,,,
187,05/12/15 01:09:02 AM,14.3705,69.449,,,,
188,05/12/15 01:14:02 AM,14.3690,69.449,,,,
189,05/12/15 01:19:02 AM,14.3705,69.449,,,,
190,05/12/15 01:24:02 AM,14.3718,69.449,,,,
191,05/12/15 01:29:02 AM,14.3705,69.449,,,,
192,05/12/15 01:34:02 AM,14.3718,69.449,,,,
