"Plot Title: MC5 Water Level - 10569715"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10569715, SEN S/N: 10569715)","Temp, °F (LGR S/N: 10569715, SEN S/N: 10569715)","Coupler Detached (LGR S/N: 10569715, SEN S/N: 10569715)","Coupler Attached (LGR S/N: 10569715, SEN S/N: 10569715)","Stopped (LGR S/N: 10569715, SEN S/N: 10569715)","End Of File (LGR S/N: 10569715, SEN S/N: 10569715)"
1,12/02/15 10:39:02 AM,14.3271,59.337,Logged,,,
2,12/02/15 10:44:02 AM,15.4987,58.303,,,,
3,12/02/15 10:49:02 AM,15.4799,58.131,,,,
4,12/02/15 10:54:02 AM,15.4761,58.303,,,,
5,12/02/15 10:59:02 AM,15.4774,58.303,,,,
6,12/02/15 11:04:02 AM,15.4761,58.303,,,,
7,12/02/15 11:09:02 AM,15.4703,58.303,,,,
8,12/02/15 11:14:02 AM,15.4718,58.303,,,,
9,12/02/15 11:19:02 AM,15.4703,58.303,,,,
10,12/02/15 11:24:02 AM,15.4703,58.303,,,,
11,12/02/15 11:29:02 AM,15.4747,58.303,,,,
12,12/02/15 11:34:02 AM,15.4732,58.303,,,,
13,12/02/15 11:39:02 AM,15.4747,58.303,,,,
14,12/02/15 11:44:02 AM,15.4747,58.303,,,,
15,12/02/15 11:49:02 AM,15.4703,58.303,,,,
16,12/02/15 11:54:02 AM,15.4703,58.303,,,,
17,12/02/15 11:59:02 AM,15.4718,58.303,,,,
18,12/02/15 12:04:02 PM,15.4703,58.303,,,,
19,12/02/15 12:09:02 PM,15.4694,58.476,,,,
20,12/02/15 12:14:02 PM,15.4703,58.303,,,,
21,12/02/15 12:19:02 PM,15.4718,58.303,,,,
22,12/02/15 12:24:02 PM,15.4722,58.476,,,,
23,12/02/15 12:29:02 PM,15.4694,58.476,,,,
24,12/02/15 12:34:02 PM,15.4651,58.476,,,,
25,12/02/15 12:39:02 PM,15.4636,58.476,,,,
26,12/02/15 12:44:02 PM,15.4609,58.476,,,,
27,12/02/15 12:49:02 PM,15.4594,58.476,,,,
28,12/02/15 12:54:02 PM,15.4594,58.476,,,,
29,12/02/15 12:59:02 PM,15.4565,58.476,,,,
30,12/02/15 01:04:02 PM,15.4565,58.476,,,,
31,12/02/15 01:09:02 PM,15.4552,58.476,,,,
32,12/02/15 01:14:02 PM,15.4538,58.476,,,,
33,12/02/15 01:19:02 PM,15.4538,58.476,,,,
34,12/02/15 01:24:02 PM,15.4467,58.476,,,,
35,12/02/15 01:29:02 PM,15.4423,58.476,,,,
36,12/02/15 01:34:02 PM,15.4367,58.476,,,,
37,12/02/15 01:39:02 PM,15.4339,58.476,,,,
38,12/02/15 01:44:02 PM,15.4339,58.476,,,,
39,12/02/15 01:49:02 PM,15.4339,58.476,,,,
40,12/02/15 01:54:02 PM,15.4325,58.476,,,,
41,12/02/15 01:59:02 PM,15.4325,58.476,,,,
42,12/02/15 02:04:02 PM,15.4281,58.476,,,,
43,12/02/15 02:09:02 PM,15.4224,58.476,,,,
44,12/02/15 02:14:02 PM,15.4210,58.476,,,,
45,12/02/15 02:19:02 PM,15.4210,58.476,,,,
46,12/02/15 02:24:02 PM,15.4224,58.476,,,,
47,12/02/15 02:29:02 PM,15.4182,58.476,,,,
48,12/02/15 02:34:02 PM,15.4168,58.476,,,,
49,12/02/15 02:39:02 PM,15.4182,58.476,,,,
50,12/02/15 02:44:02 PM,15.4224,58.476,,,,
51,12/02/15 02:49:02 PM,15.4253,58.476,,,,
52,12/02/15 02:54:02 PM,15.4239,58.476,,,,
53,12/02/15 02:59:02 PM,15.4224,58.476,,,,
54,12/02/15 03:04:02 PM,15.4210,58.476,,,,
55,12/02/15 03:09:02 PM,15.4210,58.476,,,,
56,12/02/15 03:14:02 PM,15.4210,58.476,,,,
57,12/02/15 03:19:02 PM,15.4210,58.476,,,,
58,12/02/15 03:24:02 PM,15.4172,58.647,,,,
59,12/02/15 03:29:02 PM,15.4143,58.647,,,,
60,12/02/15 03:34:02 PM,15.4130,58.647,,,,
