"Plot Title: MC5 Air - 10569713"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10569713, SEN S/N: 10569713)","Temp, °F (LGR S/N: 10569713, SEN S/N: 10569713)","Coupler Detached (LGR S/N: 10569713)","Coupler Attached (LGR S/N: 10569713)","Stopped (LGR S/N: 10569713)","End Of File (LGR S/N: 10569713)"
1,02/10/16 01:12:18 PM,14.3677,45.828,Logged,,,
2,02/10/16 01:17:18 PM,14.3658,46.369,,,,
3,02/10/16 01:22:18 PM,14.3651,46.728,,,,
4,02/10/16 01:27:18 PM,14.3641,46.908,,,,
5,02/10/16 01:32:18 PM,14.3654,46.908,,,,
6,02/10/16 01:37:18 PM,14.3637,46.728,,,,
7,02/10/16 01:42:18 PM,14.3634,46.548,,,,
8,02/10/16 01:47:18 PM,14.3619,46.548,,,,
9,02/10/16 01:52:18 PM,14.3627,46.188,,,,
10,02/10/16 01:57:18 PM,14.3627,46.188,,,,
11,02/10/16 02:02:18 PM,14.3609,46.008,,,,
12,02/10/16 02:07:18 PM,14.3595,46.008,,,,
13,02/10/16 02:12:18 PM,14.3580,46.008,,,,
14,02/10/16 02:17:18 PM,14.3605,45.828,,,,
15,02/10/16 02:22:18 PM,14.3570,45.466,,,,
16,02/10/16 02:27:18 PM,14.3577,45.104,,,,
17,02/10/16 02:32:18 PM,14.3577,45.104,,,,
18,02/10/16 02:37:18 PM,14.3577,45.104,,,,
19,02/10/16 02:42:18 PM,14.3587,44.922,,,,
20,02/10/16 02:47:18 PM,14.3570,44.742,,,,
21,02/10/16 02:52:18 PM,14.3609,44.560,,,,
22,02/10/16 02:57:18 PM,14.3599,44.013,,,,
23,02/10/16 03:02:18 PM,14.3603,43.466,,,,
24,02/10/16 03:07:18 PM,14.3611,43.099,,,,
25,02/10/16 03:12:18 PM,14.3600,42.548,,,,
26,02/10/16 03:17:18 PM,14.3589,41.994,,,,
27,02/10/16 03:22:18 PM,14.3611,41.625,,,,
28,02/10/16 03:27:18 PM,14.3600,41.067,,,,
29,02/10/16 03:32:18 PM,14.3593,40.696,,,,
30,02/10/16 03:37:18 PM,14.3598,40.134,,,,
31,02/10/16 03:42:18 PM,14.3561,39.760,,,,
32,02/10/16 03:47:18 PM,14.3576,39.760,,,,
33,02/10/16 03:52:18 PM,14.3583,40.134,,,,
34,02/10/16 03:57:18 PM,14.3608,40.696,,,,
35,02/10/16 04:02:18 PM,14.3615,41.067,,,,
36,02/10/16 04:07:18 PM,14.3622,40.696,,,,
37,02/10/16 04:12:18 PM,14.3622,40.696,,,,
38,02/10/16 04:17:18 PM,14.3611,40.881,,,,
39,02/10/16 04:22:18 PM,14.3611,40.881,,,,
40,02/10/16 04:27:18 PM,14.3629,41.067,,,,
41,02/10/16 04:32:18 PM,14.3629,41.067,,,,
42,02/10/16 04:37:18 PM,14.3654,40.881,,,,
43,02/10/16 04:42:18 PM,14.3664,40.696,,,,
