"Plot Title: MC5 Water Level - 10569715"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10569715, SEN S/N: 10569715)","Temp, °F (LGR S/N: 10569715, SEN S/N: 10569715)","Coupler Detached (LGR S/N: 10569715)","Coupler Attached (LGR S/N: 10569715)","Stopped (LGR S/N: 10569715)","End Of File (LGR S/N: 10569715)"
1,02/10/16 01:19:02 PM,15.5275,43.099,Logged,,,
2,02/10/16 01:24:02 PM,15.5272,41.810,,,,
3,02/10/16 01:29:02 PM,15.5257,41.810,,,,
4,02/10/16 01:34:02 PM,15.5286,41.810,,,,
5,02/10/16 01:39:02 PM,15.5276,41.994,,,,
6,02/10/16 01:44:02 PM,15.5248,41.994,,,,
7,02/10/16 01:49:02 PM,15.5224,42.179,,,,
8,02/10/16 01:54:02 PM,15.5228,42.363,,,,
9,02/10/16 01:59:02 PM,15.5243,42.363,,,,
10,02/10/16 02:04:02 PM,15.5247,42.548,,,,
11,02/10/16 02:09:02 PM,15.5251,42.732,,,,
12,02/10/16 02:14:02 PM,15.5237,42.732,,,,
13,02/10/16 02:19:02 PM,15.5228,42.915,,,,
14,02/10/16 02:24:02 PM,15.5228,42.915,,,,
15,02/10/16 02:29:02 PM,15.5247,43.099,,,,
16,02/10/16 02:34:02 PM,15.5222,43.282,,,,
17,02/10/16 02:39:02 PM,15.5222,43.282,,,,
18,02/10/16 02:44:02 PM,15.5241,43.466,,,,
19,02/10/16 02:49:02 PM,15.5241,43.466,,,,
20,02/10/16 02:54:02 PM,15.5231,43.648,,,,
21,02/10/16 02:59:02 PM,15.5216,43.648,,,,
22,02/10/16 03:04:02 PM,15.5250,43.831,,,,
23,02/10/16 03:09:02 PM,15.5250,43.831,,,,
24,02/10/16 03:14:02 PM,15.5254,44.013,,,,
25,02/10/16 03:19:02 PM,15.5240,44.013,,,,
26,02/10/16 03:24:02 PM,15.5240,44.013,,,,
27,02/10/16 03:29:02 PM,15.5244,44.195,,,,
28,02/10/16 03:34:02 PM,15.5244,44.195,,,,
29,02/10/16 03:39:02 PM,15.5244,44.195,,,,
30,02/10/16 03:44:02 PM,15.5235,44.379,,,,
31,02/10/16 03:49:02 PM,15.5248,44.379,,,,
32,02/10/16 03:54:02 PM,15.5263,44.379,,,,
33,02/10/16 03:59:02 PM,15.5248,44.379,,,,
34,02/10/16 04:04:02 PM,15.5263,44.379,,,,
35,02/10/16 04:09:02 PM,15.5282,44.560,,,,
36,02/10/16 04:14:02 PM,15.5296,44.560,,,,
37,02/10/16 04:19:02 PM,15.5267,44.560,,,,
38,02/10/16 04:24:02 PM,15.5267,44.560,,,,
39,02/10/16 04:29:02 PM,15.5267,44.560,,,,
40,02/10/16 04:34:02 PM,15.5282,44.560,,,,
41,02/10/16 04:39:02 PM,15.5296,44.560,,,,
42,02/10/16 04:44:02 PM,15.5296,44.560,,,,
43,02/10/16 04:49:02 PM,15.5296,44.560,,,,
44,02/10/16 04:54:02 PM,15.5311,44.560,,,,
45,02/10/16 04:59:02 PM,15.5324,44.560,,,,
46,02/10/16 05:04:02 PM,15.5324,44.560,,,,
47,02/10/16 05:09:02 PM,15.5353,44.560,,,,
48,02/10/16 05:14:02 PM,15.5367,44.560,,,,
49,02/10/16 05:19:02 PM,15.5382,44.560,,,,
50,02/10/16 05:24:02 PM,15.5409,44.560,,,,
51,02/10/16 05:29:02 PM,15.5424,44.560,,,,
52,02/10/16 05:34:02 PM,15.5424,44.560,,,,
53,02/10/16 05:39:02 PM,15.5395,44.560,,,,
54,02/10/16 05:44:02 PM,15.5405,44.379,,,,
55,02/10/16 05:49:02 PM,15.5405,44.379,,,,
56,02/10/16 05:54:02 PM,15.5405,44.379,,,,
57,02/10/16 05:59:02 PM,15.5434,44.379,,,,
58,02/10/16 06:04:02 PM,15.5476,44.379,,,,
59,02/10/16 06:09:02 PM,15.5491,44.379,,,,
60,02/10/16 06:14:02 PM,15.5505,44.379,,,,
61,02/10/16 06:19:02 PM,15.5491,44.379,,,,
62,02/10/16 06:24:02 PM,15.5486,44.195,,,,
63,02/10/16 06:29:02 PM,15.5486,44.195,,,,
64,02/10/16 06:34:02 PM,15.5486,44.195,,,,
65,02/10/16 06:39:02 PM,15.5501,44.195,,,,
66,02/10/16 06:44:02 PM,15.5501,44.195,,,,
67,02/10/16 06:49:02 PM,15.5514,44.195,,,,
68,02/10/16 06:54:02 PM,15.5509,44.013,,,,
69,02/10/16 06:59:02 PM,15.5524,44.013,,,,
70,02/10/16 07:04:02 PM,15.5509,44.013,,,,
71,02/10/16 07:09:02 PM,15.5509,44.013,,,,
72,02/10/16 07:14:02 PM,15.5553,44.013,,,,
73,02/10/16 07:19:02 PM,15.5553,44.013,,,,
74,02/10/16 07:24:02 PM,15.5562,43.831,,,,
75,02/10/16 07:29:02 PM,15.5591,43.831,,,,
76,02/10/16 07:34:02 PM,15.5576,43.831,,,,
77,02/10/16 07:39:02 PM,15.5591,43.831,,,,
78,02/10/16 07:44:02 PM,15.5576,43.831,,,,
79,02/10/16 07:49:02 PM,15.5591,43.831,,,,
80,02/10/16 07:54:02 PM,15.5628,43.648,,,,
81,02/10/16 07:59:02 PM,15.5628,43.648,,,,
82,02/10/16 08:04:02 PM,15.5628,43.648,,,,
83,02/10/16 08:09:02 PM,15.5643,43.648,,,,
84,02/10/16 08:14:02 PM,15.5657,43.648,,,,
85,02/10/16 08:19:02 PM,15.5657,43.648,,,,
86,02/10/16 08:24:02 PM,15.5666,43.466,,,,
87,02/10/16 08:29:02 PM,15.5695,43.466,,,,
88,02/10/16 08:34:02 PM,15.5681,43.466,,,,
89,02/10/16 08:39:02 PM,15.5653,43.466,,,,
90,02/10/16 08:44:02 PM,15.5695,43.466,,,,
91,02/10/16 08:49:02 PM,15.5695,43.466,,,,
92,02/10/16 08:54:02 PM,15.5710,43.466,,,,
93,02/10/16 08:59:02 PM,15.5705,43.282,,,,
94,02/10/16 09:04:02 PM,15.5718,43.282,,,,
95,02/10/16 09:09:02 PM,15.5718,43.282,,,,
96,02/10/16 09:14:02 PM,15.5762,43.282,,,,
97,02/10/16 09:19:02 PM,15.5762,43.282,,,,
98,02/10/16 09:24:02 PM,15.5762,43.282,,,,
99,02/10/16 09:29:02 PM,15.5762,43.282,,,,
100,02/10/16 09:34:02 PM,15.5772,43.099,,,,
101,02/10/16 09:39:02 PM,15.5800,43.099,,,,
102,02/10/16 09:44:02 PM,15.5785,43.099,,,,
103,02/10/16 09:49:02 PM,15.5772,43.099,,,,
104,02/10/16 09:54:02 PM,15.5772,43.099,,,,
105,02/10/16 09:59:02 PM,15.5785,43.099,,,,
