"Plot Title: MC5 Air - 10569713"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10569713, SEN S/N: 10569713)","Temp, °F (LGR S/N: 10569713, SEN S/N: 10569713)","Coupler Detached (LGR S/N: 10569713, SEN S/N: 10569713)","Coupler Attached (LGR S/N: 10569713, SEN S/N: 10569713)","Stopped (LGR S/N: 10569713, SEN S/N: 10569713)","End Of File (LGR S/N: 10569713, SEN S/N: 10569713)"
1,12/02/15 10:37:18 AM,14.3367,58.993,Logged,,,
2,12/02/15 10:42:18 AM,14.3384,58.476,,,,
3,12/02/15 10:47:18 AM,14.3357,57.785,,,,
4,12/02/15 10:52:18 AM,14.3367,57.614,,,,
5,12/02/15 10:57:18 AM,14.3418,57.268,,,,
6,12/02/15 11:02:18 AM,14.3413,57.096,,,,
7,12/02/15 11:07:18 AM,14.3386,57.096,,,,
8,12/02/15 11:12:18 AM,14.3428,57.096,,,,
9,12/02/15 11:17:18 AM,14.3400,57.096,,,,
10,12/02/15 11:22:18 AM,14.3413,57.096,,,,
11,12/02/15 11:27:18 AM,14.3432,57.268,,,,
12,12/02/15 11:32:18 AM,14.3418,57.268,,,,
13,12/02/15 11:37:18 AM,14.3447,57.268,,,,
14,12/02/15 11:42:18 AM,14.3464,57.441,,,,
15,12/02/15 11:47:18 AM,14.3425,57.614,,,,
16,12/02/15 11:52:18 AM,14.3413,57.785,,,,
17,12/02/15 11:57:18 AM,14.3403,57.958,,,,
18,12/02/15 12:02:18 PM,14.3392,58.131,,,,
19,12/02/15 12:07:18 PM,14.3396,58.303,,,,
20,12/02/15 12:12:18 PM,14.3428,58.476,,,,
21,12/02/15 12:17:18 PM,14.3435,58.820,,,,
22,12/02/15 12:22:18 PM,14.3423,58.993,,,,
23,12/02/15 12:27:18 PM,14.3428,59.164,,,,
24,12/02/15 12:32:18 PM,14.3389,59.337,,,,
25,12/02/15 12:37:18 PM,14.3374,59.337,,,,
26,12/02/15 12:42:18 PM,14.3367,59.680,,,,
27,12/02/15 12:47:18 PM,14.3342,59.851,,,,
28,12/02/15 12:52:18 PM,14.3313,59.851,,,,
29,12/02/15 12:57:18 PM,14.3289,60.024,,,,
30,12/02/15 01:02:18 PM,14.3260,60.024,,,,
31,12/02/15 01:07:18 PM,14.3277,60.195,,,,
32,12/02/15 01:12:18 PM,14.3262,60.195,,,,
33,12/02/15 01:17:18 PM,14.3220,60.195,,,,
34,12/02/15 01:22:18 PM,14.3191,60.195,,,,
35,12/02/15 01:27:18 PM,14.3167,60.368,,,,
36,12/02/15 01:32:18 PM,14.3109,60.368,,,,
37,12/02/15 01:37:18 PM,14.3065,60.368,,,,
38,12/02/15 01:42:18 PM,14.3055,60.539,,,,
39,12/02/15 01:47:18 PM,14.3045,60.712,,,,
40,12/02/15 01:52:18 PM,14.3048,60.883,,,,
41,12/02/15 01:57:18 PM,14.3052,61.054,,,,
42,12/02/15 02:02:18 PM,14.2994,61.054,,,,
43,12/02/15 02:07:18 PM,14.2940,61.227,,,,
44,12/02/15 02:12:18 PM,14.2943,61.398,,,,
45,12/02/15 02:17:18 PM,14.2904,61.569,,,,
46,12/02/15 02:22:18 PM,14.2933,61.569,,,,
47,12/02/15 02:27:18 PM,14.2923,61.741,,,,
48,12/02/15 02:32:18 PM,14.2894,61.741,,,,
49,12/02/15 02:37:18 PM,14.2926,61.912,,,,
50,12/02/15 02:42:18 PM,14.2955,61.912,,,,
51,12/02/15 02:47:18 PM,14.2997,61.912,,,,
52,12/02/15 02:52:18 PM,14.2980,61.741,,,,
53,12/02/15 02:57:18 PM,14.2965,61.741,,,,
54,12/02/15 03:02:18 PM,14.2940,61.912,,,,
55,12/02/15 03:07:18 PM,14.2965,61.741,,,,
56,12/02/15 03:12:18 PM,14.2965,61.741,,,,
57,12/02/15 03:17:18 PM,14.2936,61.741,,,,
58,12/02/15 03:22:18 PM,14.2923,61.741,,,,
59,12/02/15 03:27:18 PM,14.2904,61.569,,,,
60,12/02/15 03:32:18 PM,14.2862,61.569,,,,
61,12/02/15 03:37:18 PM,14.2848,61.569,,,,
62,12/02/15 03:42:18 PM,14.2816,61.398,,,,
63,12/02/15 03:47:18 PM,14.2829,61.398,,,,
64,12/02/15 03:52:18 PM,14.2833,61.569,,,,
65,12/02/15 03:57:18 PM,14.2819,61.569,,,,
66,12/02/15 04:02:18 PM,14.2836,61.741,,,,
67,12/02/15 04:07:18 PM,14.2809,61.741,,,,
68,12/02/15 04:12:18 PM,14.2840,61.912,,,,
69,12/02/15 04:17:18 PM,14.2840,61.912,,,,
70,12/02/15 04:22:18 PM,14.2829,62.083,,,,
71,12/02/15 04:27:18 PM,14.2787,62.083,,,,
72,12/02/15 04:32:18 PM,14.2729,62.083,,,,
73,12/02/15 04:37:18 PM,14.2726,61.912,,,,
74,12/02/15 04:42:18 PM,14.2768,61.912,,,,
75,12/02/15 04:47:18 PM,14.2768,61.912,,,,
76,12/02/15 04:52:18 PM,14.2782,61.912,,,,
77,12/02/15 04:57:18 PM,14.2782,61.912,,,,
78,12/02/15 05:02:18 PM,14.2855,61.912,,,,
79,12/02/15 05:07:18 PM,14.2980,61.741,,,,
80,12/02/15 05:12:18 PM,14.2851,61.741,,,,
81,12/02/15 05:17:18 PM,14.2790,61.569,,,,
82,12/02/15 05:22:18 PM,14.2819,61.569,,,,
83,12/02/15 05:27:18 PM,14.2901,61.398,,,,
84,12/02/15 05:32:18 PM,14.2855,61.227,,,,
85,12/02/15 05:37:18 PM,14.2909,61.054,,,,
86,12/02/15 05:42:18 PM,14.2836,61.054,,,,
87,12/02/15 05:47:18 PM,14.2790,60.883,,,,
88,12/02/15 05:52:18 PM,14.2830,60.712,,,,
89,12/02/15 05:57:18 PM,14.2826,60.539,,,,
90,12/02/15 06:02:18 PM,14.2923,60.368,,,,
91,12/02/15 06:07:18 PM,14.2851,60.368,,,,
92,12/02/15 06:12:18 PM,14.2904,60.195,,,,
93,12/02/15 06:17:18 PM,14.2916,60.024,,,,
94,12/02/15 06:22:18 PM,14.2945,60.024,,,,
95,12/02/15 06:27:18 PM,14.2884,59.851,,,,
96,12/02/15 06:32:18 PM,14.2898,59.851,,,,
97,12/02/15 06:37:18 PM,14.2865,59.680,,,,
98,12/02/15 06:42:18 PM,14.2865,59.680,,,,
99,12/02/15 06:47:18 PM,14.2923,59.680,,,,
100,12/02/15 06:52:18 PM,14.2894,59.680,,,,
101,12/02/15 06:57:18 PM,14.2894,59.680,,,,
102,12/02/15 07:02:18 PM,14.2948,59.508,,,,
103,12/02/15 07:07:18 PM,14.2933,59.508,,,,
104,12/02/15 07:12:18 PM,14.2991,59.508,,,,
105,12/02/15 07:17:18 PM,14.2972,59.337,,,,
106,12/02/15 07:22:18 PM,14.2959,59.337,,,,
107,12/02/15 07:27:18 PM,14.2959,59.337,,,,
108,12/02/15 07:32:18 PM,14.2969,59.164,,,,
109,12/02/15 07:37:18 PM,14.2984,59.164,,,,
110,12/02/15 07:42:18 PM,14.2980,58.993,,,,
111,12/02/15 07:47:18 PM,14.3020,58.820,,,,
112,12/02/15 07:52:18 PM,14.3020,58.820,,,,
113,12/02/15 07:57:18 PM,14.3030,58.647,,,,
114,12/02/15 08:02:18 PM,14.3041,58.476,,,,
115,12/02/15 08:07:18 PM,14.3023,58.303,,,,
116,12/02/15 08:12:18 PM,14.3035,58.131,,,,
117,12/02/15 08:17:18 PM,14.3045,57.958,,,,
118,12/02/15 08:22:18 PM,14.3070,57.785,,,,
119,12/02/15 08:27:18 PM,14.3070,57.785,,,,
120,12/02/15 08:32:18 PM,14.3081,57.614,,,,
121,12/02/15 08:37:18 PM,14.3049,57.441,,,,
122,12/02/15 08:42:18 PM,14.3059,57.268,,,,
123,12/02/15 08:47:18 PM,14.3042,57.096,,,,
124,12/02/15 08:52:18 PM,14.3038,56.923,,,,
