"Plot Title: MC5 Air - 10569713"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10569713, SEN S/N: 10569713)","Temp, °F (LGR S/N: 10569713, SEN S/N: 10569713)","Coupler Detached (LGR S/N: 10569713, SEN S/N: 10569713)","Coupler Attached (LGR S/N: 10569713, SEN S/N: 10569713)","Stopped (LGR S/N: 10569713, SEN S/N: 10569713)","End Of File (LGR S/N: 10569713, SEN S/N: 10569713)"
1,10/14/15 12:52:18 PM,14.3589,82.330,Logged,,,
2,10/14/15 12:57:18 PM,14.3596,82.686,,,,
3,10/14/15 01:02:18 PM,14.3561,83.043,,,,
4,10/14/15 01:07:18 PM,14.3537,83.221,,,,
5,10/14/15 01:12:18 PM,14.3524,83.221,,,,
6,10/14/15 01:17:18 PM,14.3509,83.221,,,,
7,10/14/15 01:22:18 PM,14.3466,83.221,,,,
8,10/14/15 01:27:18 PM,14.3466,83.221,,,,
9,10/14/15 01:32:18 PM,14.3422,83.221,,,,
10,10/14/15 01:37:18 PM,14.3412,83.399,,,,
11,10/14/15 01:42:18 PM,14.3422,83.221,,,,
12,10/14/15 01:47:18 PM,14.3400,82.864,,,,
13,10/14/15 01:52:18 PM,14.3392,82.508,,,,
14,10/14/15 01:57:18 PM,14.3383,82.152,,,,
15,10/14/15 02:02:18 PM,14.3376,81.797,,,,
16,10/14/15 02:07:18 PM,14.3352,81.442,,,,
17,10/14/15 02:12:18 PM,14.3367,81.442,,,,
18,10/14/15 02:17:18 PM,14.3363,81.266,,,,
19,10/14/15 02:22:18 PM,14.3345,81.090,,,,
20,10/14/15 02:27:18 PM,14.3341,80.911,,,,
21,10/14/15 02:32:18 PM,14.3315,80.382,,,,
22,10/14/15 02:37:18 PM,14.3296,80.206,,,,
23,10/14/15 02:42:18 PM,14.3320,80.029,,,,
24,10/14/15 02:47:18 PM,14.3302,79.853,,,,
25,10/14/15 02:52:18 PM,14.3294,79.502,,,,
26,10/14/15 02:57:18 PM,14.3309,79.502,,,,
27,10/14/15 03:02:18 PM,14.3290,79.326,,,,
28,10/14/15 03:07:18 PM,14.3283,78.975,,,,
29,10/14/15 03:12:18 PM,14.3293,78.800,,,,
