"Plot Title: MC5 Air - 10569713"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10569713, SEN S/N: 10569713)","Temp, °F (LGR S/N: 10569713, SEN S/N: 10569713)","Coupler Detached (LGR S/N: 10569713, SEN S/N: 10569713)","Coupler Attached (LGR S/N: 10569713, SEN S/N: 10569713)","Stopped (LGR S/N: 10569713, SEN S/N: 10569713)","End Of File (LGR S/N: 10569713, SEN S/N: 10569713)"
1,09/23/15 09:37:18 AM,14.4856,69.107,Logged,,,
2,09/23/15 09:42:18 AM,14.4846,68.592,,,,
3,09/23/15 09:47:18 AM,14.4871,68.421,,,,
4,09/23/15 09:52:18 AM,14.4867,68.248,,,,
5,09/23/15 09:57:18 AM,14.4874,67.906,,,,
6,09/23/15 10:02:18 AM,14.4856,67.735,,,,
7,09/23/15 10:07:18 AM,14.4867,67.564,,,,
8,09/23/15 10:12:18 AM,14.4877,67.392,,,,
9,09/23/15 10:17:18 AM,14.4891,67.392,,,,
10,09/23/15 10:22:18 AM,14.4891,67.392,,,,
11,09/23/15 10:27:18 AM,14.4896,67.564,,,,
12,09/23/15 10:32:18 AM,14.4869,67.735,,,,
13,09/23/15 10:37:18 AM,14.4906,68.077,,,,
14,09/23/15 10:42:18 AM,14.4900,68.421,,,,
15,09/23/15 10:47:18 AM,14.4903,68.592,,,,
16,09/23/15 10:52:18 AM,14.4910,68.934,,,,
17,09/23/15 10:57:18 AM,14.4917,69.278,,,,
18,09/23/15 11:02:18 AM,14.4922,69.449,,,,
19,09/23/15 11:07:18 AM,14.4922,69.449,,,,
20,09/23/15 11:12:18 AM,14.4936,69.449,,,,
21,09/23/15 11:17:18 AM,14.4941,69.622,,,,
22,09/23/15 11:22:18 AM,14.4919,69.964,,,,
23,09/23/15 11:27:18 AM,14.4916,70.480,,,,
24,09/23/15 11:32:18 AM,14.4909,70.824,,,,
25,09/23/15 11:37:18 AM,14.4888,71.168,,,,
26,09/23/15 11:42:18 AM,14.4877,71.339,,,,
27,09/23/15 11:47:18 AM,14.4899,71.683,,,,
28,09/23/15 11:52:18 AM,14.4878,72.028,,,,
29,09/23/15 11:57:18 AM,14.4880,72.718,,,,
30,09/23/15 12:02:18 PM,14.4901,73.753,,,,
31,09/23/15 12:07:18 PM,14.4907,74.619,,,,
32,09/23/15 12:12:18 PM,14.4912,74.791,,,,
33,09/23/15 12:17:18 PM,14.4897,74.791,,,,
34,09/23/15 12:22:18 PM,14.4897,74.791,,,,
35,09/23/15 12:27:18 PM,14.4871,74.964,,,,
36,09/23/15 12:32:18 PM,14.4855,75.484,,,,
