"Plot Title: MC5 Air - 10569713"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10569713, SEN S/N: 10569713)","Temp, °F (LGR S/N: 10569713, SEN S/N: 10569713)","Coupler Detached (LGR S/N: 10569713, SEN S/N: 10569713)","Coupler Attached (LGR S/N: 10569713, SEN S/N: 10569713)","Stopped (LGR S/N: 10569713, SEN S/N: 10569713)","End Of File (LGR S/N: 10569713, SEN S/N: 10569713)"
1,09/15/15 02:12:18 PM,14.5541,87.733,Logged,,,
2,09/15/15 02:17:18 PM,14.5537,87.552,,,,
3,09/15/15 02:22:18 PM,14.5499,87.186,,,,
4,09/15/15 02:27:18 PM,14.5476,86.823,,,,
5,09/15/15 02:32:18 PM,14.5457,86.641,,,,
6,09/15/15 02:37:18 PM,14.5467,86.459,,,,
7,09/15/15 02:42:18 PM,14.5453,86.459,,,,
8,09/15/15 02:47:18 PM,14.5405,86.277,,,,
9,09/15/15 02:52:18 PM,14.5400,86.097,,,,
10,09/15/15 02:57:18 PM,14.5415,86.097,,,,
11,09/15/15 03:02:18 PM,14.5410,85.915,,,,
12,09/15/15 03:07:18 PM,14.5379,85.735,,,,
13,09/15/15 03:12:18 PM,14.5389,85.554,,,,
14,09/15/15 03:17:18 PM,14.5399,85.374,,,,
15,09/15/15 03:22:18 PM,14.5370,85.374,,,,
16,09/15/15 03:27:18 PM,14.5370,85.374,,,,
17,09/15/15 03:32:18 PM,14.5370,85.374,,,,
18,09/15/15 03:37:18 PM,14.5366,85.194,,,,
19,09/15/15 03:42:18 PM,14.5366,85.194,,,,
20,09/15/15 03:47:18 PM,14.5351,85.194,,,,
21,09/15/15 03:52:18 PM,14.5337,85.194,,,,
22,09/15/15 03:57:18 PM,14.5351,85.194,,,,
23,09/15/15 04:02:18 PM,14.5322,85.194,,,,
24,09/15/15 04:07:18 PM,14.5322,85.194,,,,
25,09/15/15 04:12:18 PM,14.5326,85.374,,,,
26,09/15/15 04:17:18 PM,14.5326,85.374,,,,
27,09/15/15 04:22:18 PM,14.5321,85.735,,,,
28,09/15/15 04:27:18 PM,14.5325,85.915,,,,
29,09/15/15 04:32:18 PM,14.5329,86.097,,,,
30,09/15/15 04:37:18 PM,14.5348,86.277,,,,
31,09/15/15 04:42:18 PM,14.5348,86.277,,,,
32,09/15/15 04:47:18 PM,14.5338,86.459,,,,
33,09/15/15 04:52:18 PM,14.5323,86.459,,,,
34,09/15/15 04:57:18 PM,14.5319,86.277,,,,
35,09/15/15 05:02:18 PM,14.5319,86.277,,,,
36,09/15/15 05:07:18 PM,14.5329,86.097,,,,
37,09/15/15 05:12:18 PM,14.5310,85.915,,,,
38,09/15/15 05:17:18 PM,14.5321,85.735,,,,
39,09/15/15 05:22:18 PM,14.5316,85.554,,,,
40,09/15/15 05:27:18 PM,14.5297,85.374,,,,
41,09/15/15 05:32:18 PM,14.5274,85.014,,,,
42,09/15/15 05:37:18 PM,14.5294,84.654,,,,
43,09/15/15 05:42:18 PM,14.5258,84.295,,,,
44,09/15/15 05:47:18 PM,14.5279,83.935,,,,
45,09/15/15 05:52:18 PM,14.5290,83.221,,,,
46,09/15/15 05:57:18 PM,14.5274,82.508,,,,
47,09/15/15 06:02:18 PM,14.5257,81.797,,,,
48,09/15/15 06:07:18 PM,14.5280,80.911,,,,
49,09/15/15 06:12:18 PM,14.5249,80.206,,,,
50,09/15/15 06:17:18 PM,14.5276,79.502,,,,
51,09/15/15 06:22:18 PM,14.5260,78.800,,,,
52,09/15/15 06:27:18 PM,14.5244,78.098,,,,
53,09/15/15 06:32:18 PM,14.5271,77.400,,,,
54,09/15/15 06:37:18 PM,14.5255,76.703,,,,
55,09/15/15 06:42:18 PM,14.5273,76.181,,,,
56,09/15/15 06:47:18 PM,14.5267,75.312,,,,
57,09/15/15 06:52:18 PM,14.5265,74.619,,,,
58,09/15/15 06:57:18 PM,14.5293,73.926,,,,
59,09/15/15 07:02:18 PM,14.5293,73.234,,,,
60,09/15/15 07:07:18 PM,14.5292,72.545,,,,
61,09/15/15 07:12:18 PM,14.5300,71.683,,,,
62,09/15/15 07:17:18 PM,14.5286,70.995,,,,
63,09/15/15 07:22:18 PM,14.5296,70.137,,,,
64,09/15/15 07:27:18 PM,14.5309,69.449,,,,
65,09/15/15 07:32:18 PM,14.5305,68.592,,,,
66,09/15/15 07:37:18 PM,14.5319,67.906,,,,
67,09/15/15 07:42:18 PM,14.5315,67.050,,,,
68,09/15/15 07:47:18 PM,14.5313,66.366,,,,
69,09/15/15 07:52:18 PM,14.5309,65.509,,,,
70,09/15/15 07:57:18 PM,14.5323,64.825,,,,
71,09/15/15 08:02:18 PM,14.5338,64.139,,,,
72,09/15/15 08:07:18 PM,14.5309,63.455,,,,
73,09/15/15 08:12:18 PM,14.5326,62.940,,,,
74,09/15/15 08:17:18 PM,14.5355,62.254,,,,
75,09/15/15 08:22:18 PM,14.5329,61.741,,,,
76,09/15/15 08:27:18 PM,14.5348,61.227,,,,
