"Plot Title: MC5 Water Level - 10569715"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10569715, SEN S/N: 10569715)","Temp, °F (LGR S/N: 10569715, SEN S/N: 10569715)","Coupler Detached (LGR S/N: 10569715, SEN S/N: 10569715)","Coupler Attached (LGR S/N: 10569715, SEN S/N: 10569715)","Stopped (LGR S/N: 10569715, SEN S/N: 10569715)","End Of File (LGR S/N: 10569715, SEN S/N: 10569715)"
1,09/15/15 02:14:02 PM,15.4584,68.934,Logged,,,
2,09/15/15 02:19:02 PM,15.4159,67.906,,,,
3,09/15/15 02:24:02 PM,15.4026,67.735,,,,
4,09/15/15 02:29:02 PM,15.3907,67.564,,,,
5,09/15/15 02:34:02 PM,15.3850,67.564,,,,
6,09/15/15 02:39:02 PM,15.3808,67.564,,,,
7,09/15/15 02:44:02 PM,15.3794,67.564,,,,
8,09/15/15 02:49:02 PM,15.3779,67.564,,,,
9,09/15/15 02:54:02 PM,15.3723,67.564,,,,
10,09/15/15 02:59:02 PM,15.3723,67.564,,,,
11,09/15/15 03:04:02 PM,15.3708,67.564,,,,
12,09/15/15 03:09:02 PM,15.3694,67.564,,,,
13,09/15/15 03:14:02 PM,15.3694,67.564,,,,
14,09/15/15 03:19:02 PM,15.3681,67.564,,,,
15,09/15/15 03:24:02 PM,15.3666,67.564,,,,
16,09/15/15 03:29:02 PM,15.3637,67.564,,,,
17,09/15/15 03:34:02 PM,15.3637,67.564,,,,
18,09/15/15 03:39:02 PM,15.3637,67.564,,,,
19,09/15/15 03:44:02 PM,15.3623,67.564,,,,
20,09/15/15 03:49:02 PM,15.3623,67.564,,,,
21,09/15/15 03:54:02 PM,15.3608,67.564,,,,
22,09/15/15 03:59:02 PM,15.3595,67.564,,,,
23,09/15/15 04:04:02 PM,15.3595,67.564,,,,
24,09/15/15 04:09:02 PM,15.3595,67.564,,,,
25,09/15/15 04:14:02 PM,15.3580,67.564,,,,
26,09/15/15 04:19:02 PM,15.3595,67.564,,,,
27,09/15/15 04:24:02 PM,15.3566,67.564,,,,
28,09/15/15 04:29:02 PM,15.3595,67.564,,,,
29,09/15/15 04:34:02 PM,15.3580,67.564,,,,
30,09/15/15 04:39:02 PM,15.3608,67.564,,,,
31,09/15/15 04:44:02 PM,15.3595,67.564,,,,
32,09/15/15 04:49:02 PM,15.3595,67.564,,,,
33,09/15/15 04:54:02 PM,15.3599,67.735,,,,
