STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HLY-CLDH-NORMAL,Completeness Flag,HLY-HTDH-NORMAL,Completeness Flag,HLY-PRES-10PCTL,Completeness Flag,HLY-PRES-90PCTL,Completeness Flag,HLY-PRES-NORMAL,Completeness Flag,HLY-CLOD-PCTBKN,Completeness Flag,HLY-CLOD-PCTCLR,Completeness Flag,HLY-CLOD-PCTFEW,Completeness Flag,HLY-CLOD-PCTOVC,Completeness Flag,HLY-CLOD-PCTSCT,Completeness Flag,HLY-DEWP-10PCTL,Completeness Flag,HLY-DEWP-90PCTL,Completeness Flag,HLY-DEWP-NORMAL,Completeness Flag,HLY-HIDX-NORMAL,Completeness Flag,HLY-TEMP-10PCTL,Completeness Flag,HLY-TEMP-90PCTL,Completeness Flag,HLY-TEMP-NORMAL,Completeness Flag,HLY-WCHL-NORMAL,Completeness Flag,HLY-WIND-AVGSPD,Completeness Flag,HLY-WIND-VCTDIR,Completeness Flag,HLY-WIND-VCTSPD,Completeness Flag,HLY-WIND-PCTCLM,Completeness Flag,HLY-WIND-1STDIR,Completeness Flag,HLY-WIND-1STPCT,Completeness Flag,HLY-WIND-2NDDIR,Completeness Flag,HLY-WIND-2NDPCT,Completeness Flag
GHCND:USW00013881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,20100101 00:00,-777.7,C,25.1,C,1,C,1,C,1,C,102,C,305,C,99,C,433,C,61,C,12.2,C,51.1,C,30.8,C,40,C,28,C,55,C,40,C,36.6,C,5.5,C,325,C,0.8,C,180,C,1,C,144,C,8,C,136,C
GHCND:USW00013881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,20100101 01:00,-777.7,C,25.8,C,1,C,1,C,1,C,100,C,330,C,87,C,440,C,43,C,12,C,50,C,30.7,C,39.2,C,26.1,C,55,C,39.2,C,35.8,C,5.5,C,323,C,0.9,C,193,C,2,C,143,C,1,C,136,C
GHCND:USW00013881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,20100101 02:00,-777.7,C,26.4,C,1,C,1,C,1,C,102,C,313,C,107,C,424,C,54,C,12.2,C,50,C,30.7,C,38.6,C,25,C,53.6,C,38.6,C,35.2,C,5.4,C,333,C,1,C,177,C,2,C,152,C,1,C,147,C
GHCND:USW00013881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,20100101 03:00,-777.7,C,26.9,C,1,C,1,C,1,C,104,C,318,C,93,C,438,C,47,C,12.2,C,50,C,30.6,C,38.1,C,25,C,53.1,C,38.1,C,34.6,C,5.4,C,325,C,1.1,C,184,C,1,C,152,C,2,C,141,C
GHCND:USW00013881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,20100101 04:00,-777.7,C,27.4,C,1,C,1,C,1,C,105,C,318,C,93,C,439,C,45,C,12,C,50,C,30.4,C,37.6,C,24.1,C,53.1,C,37.6,C,34.2,C,5.2,C,337,C,1.2,C,192,C,8,C,167,C,2,C,157,C
GHCND:USW00013881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,20100101 05:00,-777.7,C,27.9,C,1,C,1,C,1,C,110,C,306,C,94,C,445,C,46,C,12.2,C,49.5,C,30.3,C,37.1,C,24.1,C,52,C,37.1,C,33.6,C,5.4,C,333,C,1.4,C,199,C,8,C,162,C,1,C,151,C
GHCND:USW00013881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,20100101 06:00,-777.7,C,28.4,C,1,C,1,C,1,C,98,C,284,C,98,C,470,C,50,C,12.2,C,50,C,30.1,C,36.6,C,24.1,C,53.1,C,36.6,C,32.9,C,5.4,C,340,C,1.2,C,186,C,8,C,152,C,2,C,150,C
GHCND:USW00013881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,20100101 07:00,-777.7,C,28.7,C,1,C,1,C,1,C,128,C,233,C,112,C,470,C,58,C,12,C,50,C,30.1,C,36.4,C,21.9,C,53.1,C,36.4,C,32.5,C,5.4,C,348,C,1.3,C,180,C,1,C,170,C,8,C,147,C
GHCND:USW00013881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,20100101 08:00,-777.7,C,28.6,C,1,C,1,C,1,C,183,C,197,C,124,C,433,C,62,C,12.2,C,50,C,30.2,C,36.4,C,23,C,53.1,C,36.4,C,32.5,C,5.6,C,348,C,1.1,C,169,C,2,C,178,C,1,C,160,C
GHCND:USW00013881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,20100101 09:00,-777.7,C,26.1,C,1,C,1,C,1,C,167,C,203,C,112,C,450,C,68,C,12.9,C,51.1,C,31.1,C,39,C,27,C,54,C,39,C,35,C,6.3,C,345,C,1.2,C,129,C,2,C,200,C,1,C,141,C
GHCND:USW00013881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,20100101 10:00,-777.7,C,23.1,C,1,C,1,C,1,C,167,C,215,C,103,C,444,C,71,C,12.9,C,52,C,31.3,C,41.9,C,30,C,55.9,C,41.9,C,37.8,C,7.4,C,342,C,1.4,C,82,C,1,C,185,C,2,C,170,C
GHCND:USW00013881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,20100101 11:00,-777.7,C,20.5,C,1,C,1,C,1,C,166,C,191,C,123,C,439,C,82,C,10.9,C,52.7,C,31.1,C,44.5,C,32,C,58.6,C,44.5,C,40.8,C,8,C,319,C,1.4,C,49,C,6,C,183,C,2,C,183,C
GHCND:USW00013881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,20100101 12:00,0.1,C,18.4,C,1,C,1,C,1,C,200,C,158,C,149,C,430,C,63,C,10.9,C,52,C,31,C,46.7,C,34,C,60.8,C,46.7,C,43.5,C,8.1,C,298,C,1.7,C,47,C,6,C,210,C,2,C,166,C
GHCND:USW00013881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,20100101 13:00,0.2,C,16.9,C,1,C,1,C,1,C,174,C,151,C,132,C,445,C,98,C,10.9,C,52,C,31,C,48.4,C,35.1,C,63,C,48.4,C,45.4,C,8.3,C,279,C,1.9,C,61,C,6,C,212,C,1,C,152,C
GHCND:USW00013881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,20100101 14:00,0.3,C,15.8,C,1,C,1,C,1,C,204,C,155,C,128,C,425,C,88,C,10.4,C,53.1,C,31,C,49.5,C,36,C,64,C,49.5,C,46.9,C,8.5,C,268,C,2.5,C,42,C,6,C,228,C,8,C,165,C
GHCND:USW00013881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,20100101 15:00,0.4,C,15.2,C,1,C,1,C,1,C,200,C,142,C,139,C,440,C,79,C,10.9,C,53.1,C,31,C,50.1,C,36,C,64.9,C,50.1,C,47.7,C,8.2,C,266,C,2.2,C,55,C,6,C,239,C,1,C,132,C
GHCND:USW00013881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,20100101 16:00,0.3,C,15.2,C,1,C,1,C,1,C,204,C,150,C,128,C,408,C,110,C,12,C,52,C,31.1,C,50.1,C,37,C,64.9,C,50.1,C,47.7,C,7.9,C,262,C,1.9,C,50,C,6,C,224,C,5,C,171,C
GHCND:USW00013881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,20100101 17:00,0.2,C,16.5,C,1,C,1,C,1,C,211,C,143,C,143,C,401,C,101,C,10.9,C,52.2,C,31.1,C,48.7,C,35.1,C,63,C,48.7,C,46.2,C,7.2,C,263,C,1.5,C,85,C,6,C,189,C,5,C,178,C
GHCND:USW00013881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,20100101 18:00,0.1,C,18.8,C,1,C,1,C,1,C,204,C,158,C,156,C,387,C,95,C,12.2,C,52.5,C,31.2,C,46.2,C,33.1,C,60.8,C,46.2,C,43.5,C,6.4,C,270,C,0.9,C,115,C,5,C,213,C,8,C,142,C
GHCND:USW00013881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,20100101 19:00,-777.7,C,20.3,C,1,C,1,C,1,C,157,C,245,C,111,C,423,C,64,C,12,C,52,C,31.1,C,44.7,C,32,C,59,C,44.7,C,41.8,C,6.3,C,262,C,0.6,C,126,C,5,C,177,C,6,C,157,C
GHCND:USW00013881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,20100101 20:00,-777.7,C,21.5,C,1,C,1,C,1,C,153,C,262,C,97,C,404,C,84,C,12,C,52,C,31.2,C,43.5,C,30.9,C,59,C,43.5,C,40.4,C,6.2,C,317,C,0.7,C,129,C,5,C,174,C,2,C,151,C
